"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 39-Nawada PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  288653"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Gobindpur(238)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kaushal Yadav"	"Giriraj Singh"	"Raj Ballabh Prasad"	"Sohail Anwer"	"Ashok Kumar"	"Umakant Rahi"	"Pramendra Kumar Yadav"	"Mohammad Jahid Husain"	"Rajendra Singh"	"Vijay Ram"	"Surendra Rajbanshi"	"Azad Geeta Prasad Sharma"	"Aditya Narayan"	"Manish Kumar"	"Satish Kumar"	"Safdar Ismail"	"Shulochana Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"102"	"101"	"124"	"4"	"3"	"0"	"0"	"1"	"4"	"4"	"2"	"1"	"5"	"5"	"7"	"6"	"3"	"372"	"0"	"0"	"372"	"0"
"14"	"2"	"84"	"28"	"212"	"4"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"1"	"1"	"9"	"1"	"2"	"2"	"348"	"0"	"3"	"351"	"0"
"15"	"3"	"84"	"47"	"155"	"2"	"3"	"0"	"1"	"1"	"2"	"10"	"1"	"0"	"0"	"4"	"0"	"2"	"1"	"313"	"0"	"0"	"313"	"0"
"16"	"4"	"623"	"14"	"13"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"657"	"0"	"0"	"657"	"0"
"17"	"5"	"80"	"33"	"132"	"2"	"0"	"0"	"0"	"1"	"4"	"0"	"3"	"1"	"1"	"6"	"2"	"8"	"2"	"275"	"0"	"0"	"275"	"0"
"18"	"6"	"116"	"36"	"288"	"7"	"10"	"2"	"4"	"3"	"4"	"1"	"6"	"2"	"1"	"5"	"2"	"3"	"6"	"496"	"0"	"0"	"496"	"0"
"19"	"7"	"22"	"1179"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1205"	"0"	"0"	"1205"	"0"
