"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 10-Kishanganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  206929"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kochadhaman(55)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"AKHTARUL IMAN"	"DR. DILIP KUMAR JAISWAL"	"MD. NAUSHAD"	"MOHAMMAD ASRARUL HAQUE"	"ALIMUDDIN ANSARI"	"MD. GULAB SIDDIKI"	"MANUWER ALAM"	"MOHAMMAD WASIQUR RAHMAN"	"CHITRANJAN SINGH"	"CHHOTE LAL MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"158"	"219"	"10"	"265"	"17"	"3"	"3"	"2"	"2"	"1"	"680"	"0"	"2"	"682"	"0"
"14"	"2"	"84"	"13"	"2"	"295"	"8"	"1"	"3"	"2"	"3"	"2"	"413"	"0"	"6"	"419"	"0"
"15"	"3"	"117"	"128"	"10"	"241"	"7"	"0"	"5"	"1"	"1"	"2"	"512"	"0"	"4"	"516"	"0"
"16"	"4"	"109"	"226"	"21"	"468"	"14"	"3"	"4"	"2"	"0"	"8"	"855"	"0"	"11"	"866"	"0"
"17"	"5"	"117"	"30"	"10"	"645"	"20"	"3"	"2"	"2"	"5"	"6"	"840"	"0"	"11"	"851"	"0"
"18"	"6"	"85"	"72"	"13"	"550"	"32"	"4"	"10"	"7"	"2"	"8"	"783"	"0"	"11"	"794"	"0"
"19"	"7"	"74"	"224"	"1"	"172"	"4"	"2"	"3"	"1"	"0"	"0"	"481"	"0"	"2"	"483"	"0"
"20"	"7A"	"92"	"178"	"11"	"200"	"8"	"3"	"4"	"2"	"1"	"1"	"500"	"0"	"4"	"504"	"0"
"21"	"8"	"145"	"101"	"10"	"487"	"25"	"7"	"8"	"4"	"1"	"3"	"791"	"0"	"5"	"796"	"0"
"22"	"9"	"173"	"264"	"14"	"353"	"27"	"2"	"6"	"4"	"4"	"6"	"853"	"0"	"10"	"863"	"0"
"23"	"10"	"121"	"36"	"1"	"496"	"14"	"6"	"10"	"2"	"6"	"3"	"695"	"0"	"7"	"702"	"0"
"24"	"11"	"51"	"34"	"4"	"435"	"6"	"2"	"4"	"2"	"1"	"4"	"543"	"0"	"1"	"544"	"0"
"25"	"12"	"170"	"101"	"7"	"488"	"14"	"7"	"7"	"1"	"6"	"6"	"807"	"0"	"8"	"815"	"0"
"26"	"13"	"202"	"173"	"6"	"433"	"18"	"5"	"5"	"2"	"0"	"8"	"852"	"0"	"14"	"866"	"0"
