"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 35-Karakat PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Obra(220)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kanti Singh"	"Mahabali Singh"	"Sanjay Kewat"	"Upendra Kushwaha"	"Ghulam Kundanam"	"Dinesh Kumar"	"Pradeep Kumar Joshi"	"Rajni Dubey"	"Raja Ram Singh"	"Veena Bharti"	"Imran Ali"	"Md. Diwas Ansari"	"Bhairaw Dayal Singh"	"Ram Dayal Singh"	"Satya Narayan Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"36"	"74"	"115"	"248"	"9"	"2"	"0"	"2"	"16"	"4"	"2"	"6"	"6"	"9"	"3"	"532"	"0"	"12"	"544"	"0"
"14"	"2"	"27"	"53"	"29"	"246"	"5"	"1"	"2"	"2"	"18"	"2"	"4"	"9"	"8"	"6"	"7"	"419"	"0"	"2"	"421"	"0"
"15"	"3"	"261"	"102"	"112"	"204"	"6"	"1"	"1"	"5"	"46"	"1"	"1"	"2"	"8"	"13"	"5"	"768"	"0"	"13"	"781"	"0"
"16"	"4"	"198"	"53"	"5"	"251"	"2"	"2"	"2"	"9"	"124"	"3"	"4"	"3"	"10"	"5"	"9"	"680"	"0"	"9"	"689"	"0"
"17"	"5"	"355"	"76"	"7"	"138"	"3"	"1"	"1"	"2"	"119"	"4"	"4"	"4"	"4"	"20"	"38"	"776"	"0"	"14"	"790"	"0"
"18"	"6"	"285"	"63"	"1"	"202"	"3"	"1"	"4"	"0"	"58"	"1"	"1"	"0"	"5"	"2"	"5"	"631"	"0"	"8"	"639"	"0"
"19"	"7"	"131"	"45"	"0"	"121"	"4"	"1"	"2"	"0"	"20"	"0"	"1"	"1"	"1"	"4"	"3"	"334"	"0"	"4"	"338"	"0"
"20"	"8"	"134"	"132"	"12"	"458"	"16"	"3"	"1"	"0"	"25"	"0"	"2"	"6"	"9"	"2"	"3"	"803"	"0"	"2"	"805"	"0"
"21"	"9"	"37"	"28"	"9"	"152"	"7"	"0"	"1"	"2"	"7"	"1"	"1"	"0"	"2"	"1"	"0"	"248"	"0"	"1"	"249"	"0"
