"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 9-Araria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  244995"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Jokihat(50)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"ABDUL RAHMAN"	"TASLEEM UDDIN"	"PRADEEP KUMAR SINGH"	"VIJAY KUMAR MANDAL"	"MD. ASLAM BEG"	"CHANDRA BHUSHAN"	"RAJESH KUMAR"	"RAMANAND RISHIDEO"	"BIDAYANAND PASWAN"	"SANJAY KUMAR RISHIDEV"	"SAR WAT JAHRE ANSARI"	"ALAMDAR HUSSAIN"	"PANKAJ KISHOR MANDAL"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"4"	"29"	"448"	"91"	"4"	"1"	"10"	"3"	"2"	"5"	"8"	"12"	"10"	"627"	"0"	"9"	"636"	"0"
"14"	"2"	"7"	"60"	"467"	"384"	"7"	"13"	"12"	"4"	"5"	"4"	"9"	"6"	"3"	"981"	"0"	"26"	"1007"	"0"
"15"	"3"	"42"	"53"	"219"	"542"	"10"	"13"	"4"	"0"	"4"	"3"	"7"	"2"	"2"	"901"	"0"	"9"	"910"	"0"
"16"	"4"	"12"	"172"	"447"	"51"	"1"	"2"	"7"	"2"	"3"	"2"	"4"	"3"	"6"	"712"	"0"	"4"	"716"	"0"
"17"	"5"	"24"	"248"	"152"	"155"	"1"	"6"	"3"	"2"	"1"	"2"	"2"	"3"	"0"	"599"	"0"	"3"	"602"	"0"
"18"	"6"	"1"	"16"	"271"	"73"	"3"	"0"	"5"	"2"	"1"	"3"	"2"	"5"	"5"	"387"	"0"	"10"	"397"	"0"
"19"	"7"	"30"	"621"	"16"	"69"	"6"	"6"	"8"	"1"	"0"	"5"	"5"	"2"	"13"	"782"	"0"	"12"	"794"	"0"
"20"	"8"	"15"	"672"	"6"	"15"	"3"	"6"	"3"	"5"	"0"	"0"	"1"	"5"	"8"	"739"	"0"	"4"	"743"	"0"
"21"	"9"	"8"	"509"	"156"	"34"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"1"	"2"	"716"	"0"	"2"	"718"	"0"
"22"	"10"	"12"	"950"	"17"	"32"	"3"	"3"	"0"	"2"	"0"	"1"	"4"	"4"	"5"	"1033"	"0"	"12"	"1045"	"0"
