"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 20-Saran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  238001"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Marhaura(117)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Bal Mukund Chauhan"	"Rajiv Pratap Rudy"	"Rabri Devi"	"Saleem Perwez"	"Chandan Kumar Alias Chandan Gupta"	"Niraj Ram"	"Parmatma Singh"	"Ranjan kumar"	"Rajesh Kumar"	"Lalan Prasad"	"Lalu Rai"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"15"	"411"	"192"	"28"	"4"	"0"	"2"	"0"	"5"	"8"	"8"	"673"	"0"	"11"	"684"	"0"
"14"	"2"	"9"	"442"	"171"	"28"	"8"	"1"	"2"	"0"	"6"	"6"	"7"	"680"	"0"	"13"	"693"	"0"
"15"	"3"	"24"	"349"	"154"	"49"	"7"	"3"	"4"	"0"	"13"	"5"	"9"	"617"	"0"	"8"	"625"	"0"
"16"	"4"	"14"	"117"	"268"	"55"	"4"	"0"	"6"	"2"	"8"	"15"	"2"	"491"	"0"	"9"	"500"	"0"
"17"	"5"	"14"	"133"	"163"	"98"	"5"	"3"	"9"	"4"	"5"	"9"	"7"	"450"	"0"	"16"	"466"	"0"
"18"	"6"	"24"	"66"	"134"	"148"	"5"	"3"	"5"	"3"	"5"	"6"	"8"	"407"	"0"	"30"	"437"	"0"
"19"	"7"	"20"	"328"	"246"	"73"	"2"	"4"	"10"	"7"	"33"	"22"	"30"	"775"	"0"	"39"	"814"	"0"
"20"	"8"	"2"	"108"	"162"	"11"	"2"	"1"	"1"	"0"	"7"	"11"	"5"	"310"	"0"	"10"	"320"	"0"
"21"	"9"	"11"	"280"	"125"	"15"	"4"	"2"	"4"	"3"	"4"	"9"	"7"	"464"	"0"	"12"	"476"	"0"
"22"	"10"	"33"	"246"	"27"	"158"	"3"	"0"	"6"	"4"	"11"	"8"	"5"	"501"	"0"	"17"	"518"	"0"
"23"	"11"	"16"	"234"	"79"	"175"	"4"	"2"	"6"	"2"	"12"	"0"	"10"	"540"	"0"	"14"	"554"	"0"
"24"	"12"	"0"	"52"	"240"	"8"	"0"	"0"	"0"	"2"	"1"	"8"	"1"	"312"	"0"	"9"	"321"	"0"
"25"	"13"	"3"	"286"	"63"	"39"	"1"	"0"	"1"	"0"	"2"	"4"	"5"	"404"	"0"	"6"	"410"	"0"
