"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 12-Purnea PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  223153"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Korha(69)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Amarnath Tiwari"	"Uday Singh alias Pappu Singh"	"Raj Kumar Oraon"	"Santosh Kumar"	"Anil Kumar Mahto"	"Pankaj Kumar Singh"	"Pramod Narayan Poddar"	"Fagu Marandi"	"Mansur Alam"	"Md.
Shamsher Aalam"	"MD Shahid Akthar"	"Syed Shah Ekbal Alam"	"Sudeep Roy"	"Md Akthar Ali"	"Kunj Bihari Paswan"	"Nawlesh Pathak"	"Sanjay Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"72"	"178"	"12"	"558"	"9"	"8"	"1"	"9"	"3"	"55"	"9"	"5"	"6"	"7"	"5"	"19"	"1"	"957"	"0"	"0"	"957"	"0"
"14"	"2"	"75"	"365"	"18"	"437"	"2"	"0"	"9"	"2"	"7"	"44"	"5"	"4"	"10"	"1"	"2"	"5"	"5"	"991"	"0"	"3"	"994"	"0"
"15"	"3"	"40"	"420"	"6"	"22"	"0"	"1"	"0"	"1"	"1"	"9"	"2"	"0"	"1"	"1"	"3"	"3"	"2"	"512"	"0"	"7"	"519"	"0"
"16"	"4"	"226"	"136"	"6"	"130"	"3"	"4"	"4"	"4"	"4"	"26"	"5"	"3"	"5"	"4"	"9"	"15"	"11"	"595"	"0"	"9"	"604"	"0"
"17"	"5"	"174"	"273"	"9"	"124"	"2"	"0"	"3"	"1"	"4"	"22"	"2"	"3"	"2"	"3"	"8"	"12"	"8"	"650"	"0"	"3"	"653"	"0"
"18"	"6"	"26"	"319"	"2"	"455"	"5"	"8"	"8"	"32"	"2"	"46"	"4"	"5"	"10"	"1"	"5"	"8"	"4"	"940"	"0"	"7"	"947"	"0"
"19"	"7"	"94"	"290"	"12"	"428"	"11"	"5"	"2"	"2"	"6"	"41"	"3"	"2"	"10"	"3"	"2"	"7"	"3"	"921"	"0"	"1"	"922"	"0"
