"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 7-Jhanjharpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  277347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Jhanjharpur(38)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Devendra Prasad Yadav"	"Mangani Lal Mandal"	"Manilal Sahu"	"Birendra Kumar Chaudhary"	"Md.Akhtar Ali"	"Tiliya Devi"	"Md. Faiyaz Khan"	"Vighnesh Bhagat"	"Bipin Kumar Jha"	"Haidar"	"Awdhesh Kumar Shingh"	"Ibrahim Abbasi"	"Chandra Mohan Jha"	"Chhedi Ram"	"Janak Roy"	"Pawan Kumar"	"Barun Kumar Jha"	"Ram Chandra Safi"	"Dr. Binay Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"77"	"211"	"25"	"322"	"21"	"19"	"8"	"7"	"13"	"3"	"3"	"3"	"10"	"4"	"4"	"6"	"4"	"2"	"1"	"743"	"0"	"5"	"748"	"0"
"14"	"2"	"18"	"84"	"6"	"89"	"4"	"2"	"3"	"0"	"5"	"1"	"1"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"0"	"219"	"0"	"0"	"219"	"0"
"15"	"3"	"35"	"26"	"8"	"373"	"12"	"4"	"4"	"2"	"6"	"1"	"1"	"8"	"29"	"2"	"6"	"21"	"4"	"0"	"1"	"543"	"0"	"8"	"551"	"0"
"16"	"4"	"82"	"258"	"12"	"346"	"12"	"10"	"9"	"7"	"10"	"8"	"6"	"1"	"10"	"9"	"6"	"10"	"17"	"7"	"3"	"823"	"0"	"4"	"827"	"0"
"17"	"5"	"41"	"60"	"13"	"468"	"11"	"7"	"1"	"4"	"10"	"4"	"7"	"5"	"17"	"1"	"7"	"10"	"14"	"8"	"9"	"697"	"0"	"15"	"712"	"0"
