"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 37-Aurangabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  252222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Imamganj(227)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Nikhil Kumar"	"Bagi Kumar Verma"	"Santosh Kumar"	"Sushil Kumar Singh"	"Upendra Nath"	"Usha Sharan"	"Ragini Lata Singh"	"Rita Devi"	"Durga Thakur"	"Rakesh Sharma"	"Ramji Singh"	"Bijeet Kumar"	"Somaru Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"136"	"9"	"4"	"11"	"4"	"1"	"1"	"0"	"1"	"0"	"0"	"3"	"0"	"170"	"0"	"2"	"172"	"0"
"14"	"2"	"129"	"22"	"18"	"82"	"9"	"1"	"5"	"2"	"4"	"0"	"6"	"4"	"1"	"283"	"0"	"4"	"287"	"0"
"15"	"3"	"131"	"12"	"10"	"55"	"13"	"1"	"4"	"0"	"0"	"1"	"6"	"2"	"3"	"238"	"0"	"0"	"238"	"0"
"16"	"4"	"104"	"22"	"7"	"50"	"2"	"2"	"3"	"1"	"0"	"3"	"2"	"1"	"1"	"198"	"0"	"1"	"199"	"0"
"17"	"5"	"240"	"23"	"42"	"252"	"11"	"5"	"4"	"9"	"3"	"1"	"4"	"8"	"4"	"606"	"0"	"11"	"617"	"0"
"18"	"6"	"208"	"66"	"27"	"100"	"11"	"9"	"6"	"2"	"2"	"1"	"1"	"5"	"3"	"441"	"0"	"3"	"444"	"0"
"19"	"7"	"80"	"36"	"7"	"276"	"4"	"1"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"411"	"0"	"3"	"414"	"0"
"20"	"8"	"106"	"24"	"7"	"203"	"3"	"1"	"3"	"1"	"1"	"0"	"4"	"2"	"2"	"357"	"0"	"8"	"365"	"0"
"21"	"9"	"3"	"16"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"25"	"0"	"0"	"25"	"0"
"22"	"10"	"317"	"28"	"6"	"109"	"14"	"1"	"6"	"1"	"1"	"2"	"4"	"4"	"3"	"496"	"0"	"8"	"504"	"0"
"23"	"11"	"323"	"21"	"8"	"197"	"5"	"3"	"5"	"5"	"2"	"1"	"2"	"3"	"4"	"579"	"0"	"8"	"587"	"0"
