"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 24-Begusarai PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  256027"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bachhawara(142)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Tanveer Hassan"	"Bhola Singh"	"Rajendra Prasad Singh"	"Ram Padarath Yadav"	"Pinki Devi"	"Sunil Kumar"	"Hari Kant Prasad"	"Pankaj Paswan"	"Mohammad Javed"	"Rajendra Yadav"	"Vaij Nath Paswan"	"Sushil Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"65"	"176"	"67"	"3"	"0"	"37"	"0"	"0"	"0"	"1"	"6"	"4"	"359"	"0"	"4"	"363"	"0"
"14"	"2"	"274"	"210"	"29"	"4"	"2"	"15"	"1"	"2"	"1"	"5"	"4"	"8"	"555"	"0"	"10"	"565"	"0"
"15"	"3"	"262"	"24"	"28"	"2"	"1"	"2"	"1"	"0"	"1"	"0"	"3"	"0"	"324"	"0"	"2"	"326"	"0"
"16"	"4"	"704"	"24"	"42"	"0"	"3"	"4"	"6"	"0"	"4"	"2"	"2"	"5"	"796"	"0"	"22"	"818"	"0"
"17"	"5"	"345"	"215"	"31"	"3"	"0"	"6"	"2"	"2"	"2"	"3"	"9"	"5"	"623"	"0"	"24"	"647"	"0"
"18"	"6"	"225"	"125"	"23"	"2"	"0"	"4"	"0"	"0"	"1"	"1"	"6"	"1"	"388"	"0"	"12"	"400"	"0"
"19"	"7"	"298"	"321"	"61"	"3"	"2"	"4"	"5"	"2"	"0"	"4"	"11"	"11"	"722"	"0"	"28"	"750"	"0"
"20"	"8"	"616"	"179"	"141"	"8"	"2"	"5"	"2"	"4"	"3"	"5"	"6"	"2"	"973"	"0"	"8"	"981"	"0"
"21"	"9"	"216"	"454"	"200"	"11"	"6"	"11"	"1"	"6"	"7"	"5"	"15"	"16"	"948"	"0"	"37"	"985"	"0"
"22"	"10"	"207"	"202"	"286"	"21"	"6"	"22"	"16"	"5"	"4"	"6"	"19"	"15"	"809"	"0"	"36"	"845"	"0"
"23"	"11"	"267"	"360"	"50"	"5"	"5"	"9"	"7"	"1"	"2"	"1"	"3"	"7"	"717"	"0"	"11"	"728"	"0"
"24"	"12"	"25"	"180"	"20"	"2"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"234"	"0"	"1"	"235"	"0"
