"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 23-Samastipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  236913"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Samastipur(133)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dr Ashok Kumar"	"Maheshwar Hazari"	"Ram Chandra Ram"	"Ram Chandra Paswan"	"Amit Kumar"	"Ashok Paswan"	"Ganesh Kumar"	"Lal Bahadur Sada"	"Baleshwar Paswan"	"Vijay Kumar Ram"	"Shatrudhan Kumar Paswan"	"Mithilesh Kumar Rajak"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"46"	"55"	"7"	"428"	"5"	"10"	"8"	"8"	"29"	"26"	"22"	"23"	"667"	"0"	"43"	"710"	"0"
"14"	"2"	"51"	"18"	"6"	"350"	"9"	"3"	"7"	"51"	"17"	"6"	"16"	"10"	"544"	"0"	"21"	"565"	"0"
"15"	"3"	"56"	"65"	"5"	"332"	"5"	"5"	"3"	"6"	"12"	"6"	"11"	"6"	"512"	"0"	"11"	"523"	"0"
"16"	"4"	"264"	"101"	"24"	"317"	"18"	"11"	"15"	"14"	"36"	"25"	"30"	"24"	"879"	"0"	"47"	"926"	"0"
"17"	"5"	"69"	"123"	"6"	"579"	"7"	"5"	"7"	"3"	"11"	"4"	"6"	"6"	"826"	"0"	"4"	"830"	"0"
"18"	"6"	"41"	"183"	"16"	"196"	"6"	"9"	"8"	"6"	"28"	"9"	"6"	"13"	"521"	"0"	"23"	"544"	"0"
"19"	"7"	"84"	"162"	"23"	"391"	"11"	"4"	"14"	"5"	"17"	"10"	"4"	"10"	"735"	"0"	"16"	"751"	"0"
"20"	"8"	"116"	"144"	"15"	"436"	"1"	"9"	"12"	"6"	"20"	"7"	"11"	"9"	"786"	"0"	"15"	"801"	"0"
"21"	"9"	"112"	"93"	"11"	"102"	"0"	"13"	"9"	"5"	"2"	"5"	"2"	"2"	"356"	"0"	"14"	"370"	"0"
"22"	"10"	"206"	"71"	"19"	"134"	"8"	"10"	"4"	"2"	"19"	"9"	"6"	"10"	"498"	"0"	"22"	"520"	"0"
"23"	"10A"	"79"	"57"	"5"	"202"	"4"	"2"	"1"	"8"	"15"	"13"	"8"	"10"	"404"	"0"	"30"	"434"	"0"
"24"	"11"	"51"	"63"	"3"	"207"	"6"	"0"	"4"	"5"	"12"	"9"	"6"	"15"	"381"	"0"	"28"	"409"	"0"
