"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27-Banka PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  266830"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Amarpur(159)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jai Prakash Narayan Yadav"	"Putul Kumari"	"Sanjay Kumar
- I"	"Sanjay Kumar
- II"	"Umakant Yadav"	"Deepak Kumar"	"Niraj Kumar"	"Mahboob Alam Ansari"	"Mithlesh Kumar Singh"	"Mukesh Kumar Sinha"	"Vijay Bharti"	"Subodh Narayan Jha"	"Akhil Bhartiya Sharma"	"Alimuddin Ansari"	"Indraraj Singh Saini"	"Naresh Kumar Priyadarshi"	"Sargun Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"20"	"546"	"21"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"595"	"0"	"6"	"601"	"0"
"14"	"2"	"141"	"200"	"252"	"4"	"2"	"3"	"12"	"6"	"11"	"11"	"7"	"6"	"12"	"31"	"25"	"38"	"10"	"771"	"0"	"8"	"779"	"0"
"15"	"3"	"6"	"480"	"14"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"505"	"0"	"7"	"512"	"0"
"16"	"4"	"5"	"743"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"4"	"2"	"0"	"766"	"0"	"0"	"766"	"0"
"17"	"5"	"37"	"619"	"8"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"4"	"2"	"2"	"680"	"0"	"0"	"680"	"0"
"18"	"6"	"10"	"513"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"2"	"2"	"0"	"549"	"0"	"1"	"550"	"0"
"19"	"6A"	"4"	"542"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"7"	"17"	"2"	"589"	"0"	"1"	"590"	"0"
