"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 38-Gaya PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  256522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Barachatti(228)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jitan Ram Manjhi"	"Ramji Manjhi"	"Shiv Kumar Kant"	"Hari Manjhi"	"Ashok Kumar"	"Indradeo Choudhary"	"Kapil Choudhary"	"Dhananjay Kishor"	"Niranjan Kumar"	"Bhuneshwar Das"	"Mamta Kumari"	"Shiv Shankar Kumar"	"Dr. Dev Kumar Choudhary"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"32"	"42"	"38"	"347"	"26"	"2"	"13"	"3"	"3"	"3"	"13"	"8"	"19"	"549"	"0"	"13"	"562"	"0"
"14"	"2"	"47"	"202"	"8"	"309"	"16"	"2"	"9"	"1"	"3"	"3"	"2"	"3"	"9"	"614"	"0"	"6"	"620"	"0"
"15"	"3"	"177"	"69"	"7"	"29"	"34"	"2"	"4"	"7"	"3"	"11"	"6"	"7"	"23"	"379"	"0"	"24"	"403"	"0"
"16"	"4"	"26"	"176"	"5"	"40"	"3"	"0"	"2"	"2"	"1"	"0"	"0"	"2"	"3"	"260"	"0"	"2"	"262"	"0"
"17"	"5"	"184"	"60"	"3"	"78"	"24"	"4"	"4"	"6"	"3"	"4"	"2"	"1"	"2"	"375"	"0"	"13"	"388"	"0"
"18"	"6"	"32"	"70"	"5"	"50"	"24"	"7"	"5"	"12"	"3"	"13"	"5"	"5"	"22"	"253"	"0"	"11"	"264"	"0"
"19"	"7"	"41"	"229"	"8"	"140"	"25"	"5"	"3"	"5"	"2"	"4"	"14"	"6"	"20"	"502"	"0"	"15"	"517"	"0"
"20"	"8"	"65"	"69"	"9"	"350"	"38"	"10"	"6"	"1"	"4"	"5"	"6"	"7"	"21"	"591"	"0"	"8"	"599"	"0"
"21"	"8A"	"72"	"83"	"4"	"129"	"17"	"6"	"4"	"2"	"1"	"4"	"1"	"1"	"24"	"348"	"0"	"6"	"354"	"0"
"22"	"9"	"102"	"308"	"28"	"191"	"62"	"8"	"6"	"11"	"9"	"20"	"5"	"5"	"30"	"785"	"0"	"24"	"809"	"0"
"23"	"10"	"39"	"19"	"20"	"530"	"33"	"1"	"5"	"6"	"6"	"7"	"5"	"6"	"25"	"702"	"0"	"13"	"715"	"0"
