"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 2-Pashchim Champaran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  227019"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Nautan(6)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Prakash Jha"	"Prabhu Raj Narain Rao"	"Raghunath Jha"	"Dr. Sanjay Jaiswal"	"Syed Shamim Akhtar"	"Anand Kaushal Singh"	"Sunil kumar Rao"	"Anand Prasad"	"Nafish Ahamad"	"Mohan Kumar"	"Ratan Kumar Sarkar"	"Syed Irshad Akhtar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"147"	"14"	"21"	"293"	"8"	"3"	"2"	"4"	"9"	"16"	"5"	"14"	"536"	"0"	"12"	"548"	"0"
"14"	"2"	"53"	"2"	"15"	"237"	"8"	"2"	"2"	"2"	"2"	"9"	"2"	"5"	"339"	"0"	"9"	"348"	"0"
"15"	"3"	"244"	"9"	"28"	"405"	"12"	"2"	"1"	"5"	"15"	"25"	"16"	"22"	"784"	"0"	"27"	"811"	"0"
"16"	"4"	"137"	"13"	"130"	"218"	"11"	"7"	"1"	"5"	"9"	"22"	"12"	"8"	"573"	"0"	"21"	"594"	"0"
"17"	"5"	"558"	"20"	"14"	"136"	"4"	"0"	"4"	"3"	"10"	"5"	"4"	"2"	"760"	"0"	"12"	"772"	"0"
"18"	"6"	"326"	"21"	"18"	"260"	"15"	"8"	"2"	"8"	"17"	"28"	"9"	"21"	"733"	"0"	"23"	"756"	"0"
"19"	"7"	"373"	"17"	"11"	"309"	"6"	"2"	"1"	"2"	"5"	"8"	"4"	"4"	"742"	"0"	"6"	"748"	"0"
"20"	"8"	"206"	"12"	"11"	"304"	"11"	"2"	"0"	"2"	"4"	"3"	"3"	"1"	"559"	"0"	"3"	"562"	"0"
"21"	"9"	"68"	"9"	"87"	"300"	"3"	"2"	"2"	"4"	"3"	"5"	"3"	"3"	"489"	"0"	"1"	"490"	"0"
"22"	"10"	"86"	"8"	"14"	"249"	"9"	"3"	"1"	"1"	"6"	"10"	"3"	"7"	"397"	"0"	"24"	"421"	"0"
"23"	"11"	"296"	"14"	"57"	"457"	"8"	"4"	"3"	"4"	"9"	"9"	"3"	"4"	"868"	"0"	"11"	"879"	"0"
"24"	"12"	"49"	"6"	"7"	"371"	"10"	"5"	"1"	"2"	"2"	"10"	"4"	"2"	"469"	"0"	"12"	"481"	"0"
