"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19-Maharajganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  271252"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Manjhi(114)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"JANARDAN SINGH “SIGRIWAL”"	"NAGENDRA PRASAD"	"PRABHU NATH SINGH"	"MANORANJAN SINGH"	"BYAS MANJHI"	"RINA RANI"	"UMASHANKAR TIWARI"	"DR. GOPAL PRASAD"	"BRINDA PATHAK"	"SHIV NATH MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"104"	"6"	"128"	"166"	"3"	"6"	"3"	"10"	"7"	"6"	"439"	"0"	"13"	"452"	"0"
"14"	"2"	"12"	"3"	"138"	"29"	"0"	"3"	"0"	"0"	"5"	"3"	"193"	"0"	"11"	"204"	"0"
"15"	"3"	"170"	"11"	"202"	"276"	"3"	"11"	"8"	"7"	"13"	"1"	"702"	"0"	"9"	"711"	"0"
"16"	"4"	"210"	"7"	"96"	"155"	"2"	"4"	"15"	"12"	"22"	"10"	"533"	"0"	"35"	"568"	"0"
"17"	"5"	"212"	"8"	"356"	"31"	"1"	"3"	"9"	"4"	"14"	"7"	"645"	"0"	"27"	"672"	"0"
"18"	"6"	"150"	"3"	"487"	"102"	"2"	"3"	"1"	"4"	"20"	"3"	"775"	"0"	"26"	"801"	"0"
"19"	"7"	"416"	"8"	"259"	"170"	"5"	"6"	"13"	"13"	"13"	"10"	"913"	"0"	"18"	"931"	"0"
"20"	"8"	"337"	"11"	"136"	"141"	"6"	"2"	"12"	"5"	"13"	"9"	"672"	"0"	"29"	"701"	"0"
"21"	"9"	"231"	"3"	"257"	"62"	"3"	"5"	"7"	"8"	"12"	"9"	"597"	"0"	"17"	"614"	"0"
"22"	"10"	"110"	"6"	"192"	"29"	"1"	"2"	"4"	"2"	"2"	"3"	"351"	"0"	"6"	"357"	"0"
"23"	"11"	"338"	"11"	"50"	"140"	"3"	"7"	"15"	"14"	"16"	"7"	"601"	"0"	"24"	"625"	"0"
"24"	"12"	"126"	"5"	"147"	"107"	"3"	"4"	"9"	"4"	"13"	"4"	"422"	"0"	"15"	"437"	"0"
"25"	"13"	"121"	"2"	"253"	"89"	"2"	"2"	"5"	"6"	"1"	"5"	"486"	"0"	"5"	"491"	"0"
"26"	"14"	"189"	"2"	"64"	"141"	"2"	"1"	"7"	"5"	"12"	"6"	"429"	"0"	"11"	"440"	"0"
