"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 25-Khagaria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  268485"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Parbatta(151)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Krishna Kumari Yadav"	"Choudhary Mahboob Ali Kaiser"	"Jagdish Chandra Vasu"	"Dinesh Chandra Yadav"	"Rajesh Kumar"	"Ganesh Mukhiya Nishad"	"Tej Bahadur Singh"	"Brahamdeo Mukhia"	"Makkhan Sah"	"Rajeev Ranjan"	"Dr. Swami Vivekanand"	"Umesh Chandra Bharti"	"Satish Prasad Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"31"	"480"	"2"	"21"	"3"	"1"	"0"	"1"	"0"	"1"	"3"	"15"	"12"	"570"	"0"	"8"	"578"	"0"
"14"	"1K"	"45"	"408"	"11"	"39"	"3"	"0"	"1"	"4"	"3"	"2"	"6"	"5"	"15"	"542"	"0"	"18"	"560"	"0"
"15"	"2"	"84"	"618"	"10"	"83"	"2"	"1"	"3"	"5"	"8"	"2"	"14"	"26"	"19"	"875"	"0"	"13"	"888"	"0"
"16"	"3"	"504"	"57"	"6"	"84"	"1"	"2"	"3"	"0"	"2"	"1"	"4"	"0"	"3"	"667"	"0"	"16"	"683"	"0"
"17"	"4"	"287"	"87"	"2"	"8"	"1"	"0"	"0"	"1"	"0"	"1"	"5"	"5"	"0"	"397"	"0"	"13"	"410"	"0"
"18"	"5"	"310"	"245"	"11"	"52"	"12"	"1"	"6"	"8"	"2"	"2"	"8"	"17"	"7"	"681"	"0"	"29"	"710"	"0"
"19"	"6"	"154"	"208"	"8"	"14"	"10"	"0"	"2"	"4"	"1"	"3"	"5"	"12"	"2"	"423"	"0"	"10"	"433"	"0"
"20"	"7"	"136"	"301"	"20"	"79"	"8"	"5"	"0"	"7"	"2"	"8"	"11"	"20"	"11"	"608"	"0"	"11"	"619"	"0"
"21"	"8"	"377"	"151"	"13"	"173"	"2"	"1"	"5"	"3"	"2"	"4"	"15"	"3"	"5"	"754"	"0"	"7"	"761"	"0"
"22"	"9"	"194"	"177"	"18"	"299"	"3"	"4"	"3"	"2"	"1"	"4"	"8"	"7"	"1"	"721"	"0"	"3"	"724"	"0"
