"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 39-Nawada PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  306778"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Warsaliganj(239)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kaushal Yadav"	"Giriraj Singh"	"Raj Ballabh Prasad"	"Sohail Anwer"	"Ashok Kumar"	"Umakant Rahi"	"Pramendra Kumar Yadav"	"Mohammad Jahid Husain"	"Rajendra Singh"	"Vijay Ram"	"Surendra Rajbanshi"	"Azad Geeta Prasad Sharma"	"Aditya Narayan"	"Manish Kumar"	"Satish Kumar"	"Safdar Ismail"	"Shulochana Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"292"	"330"	"14"	"0"	"2"	"2"	"0"	"2"	"5"	"0"	"1"	"2"	"1"	"3"	"2"	"2"	"36"	"694"	"0"	"43"	"737"	"0"
"14"	"2"	"414"	"46"	"7"	"2"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"3"	"17"	"8"	"504"	"0"	"1"	"505"	"0"
"15"	"3"	"229"	"260"	"75"	"0"	"1"	"1"	"0"	"0"	"3"	"3"	"0"	"0"	"0"	"3"	"2"	"2"	"6"	"585"	"0"	"4"	"589"	"0"
"16"	"4"	"206"	"117"	"155"	"21"	"1"	"3"	"1"	"0"	"4"	"4"	"0"	"2"	"5"	"12"	"3"	"14"	"7"	"555"	"0"	"6"	"561"	"0"
"17"	"5"	"5"	"641"	"37"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"688"	"0"	"15"	"703"	"0"
"18"	"6"	"166"	"149"	"564"	"18"	"1"	"2"	"3"	"2"	"3"	"1"	"2"	"0"	"1"	"2"	"2"	"1"	"5"	"922"	"0"	"2"	"924"	"0"
"19"	"7"	"67"	"578"	"57"	"6"	"1"	"1"	"0"	"0"	"2"	"3"	"0"	"2"	"3"	"3"	"6"	"3"	"6"	"738"	"0"	"24"	"762"	"0"
