"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 24-Begusarai PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  222811"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sahebpur Kamal(145)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Tanveer Hassan"	"Bhola Singh"	"Rajendra Prasad Singh"	"Ram Padarath Yadav"	"Pinki Devi"	"Sunil Kumar"	"Hari Kant Prasad"	"Pankaj Paswan"	"Mohammad Javed"	"Rajendra Yadav"	"Vaij Nath Paswan"	"Sushil Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"716"	"80"	"22"	"3"	"4"	"3"	"4"	"1"	"3"	"1"	"2"	"10"	"849"	"0"	"21"	"870"	"0"
"14"	"2"	"347"	"177"	"9"	"6"	"5"	"5"	"4"	"2"	"2"	"2"	"7"	"11"	"577"	"0"	"16"	"593"	"0"
"15"	"3"	"557"	"146"	"44"	"7"	"13"	"18"	"9"	"5"	"1"	"0"	"10"	"5"	"815"	"0"	"6"	"821"	"0"
"16"	"4"	"329"	"169"	"10"	"4"	"5"	"8"	"4"	"1"	"0"	"2"	"7"	"6"	"545"	"0"	"13"	"558"	"0"
"17"	"5"	"186"	"136"	"159"	"6"	"10"	"5"	"1"	"1"	"2"	"1"	"3"	"6"	"516"	"0"	"8"	"524"	"0"
"18"	"6"	"648"	"18"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"670"	"0"	"2"	"672"	"0"
"19"	"6A"	"670"	"28"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"705"	"0"	"0"	"705"	"0"
"20"	"7"	"900"	"43"	"33"	"3"	"2"	"2"	"3"	"1"	"5"	"1"	"3"	"10"	"1006"	"0"	"25"	"1031"	"0"
"21"	"8"	"344"	"46"	"20"	"2"	"1"	"2"	"3"	"2"	"4"	"5"	"7"	"9"	"445"	"0"	"31"	"476"	"0"
"22"	"9"	"461"	"195"	"31"	"3"	"1"	"2"	"1"	"1"	"4"	"1"	"1"	"1"	"702"	"0"	"8"	"710"	"0"
"23"	"10"	"549"	"21"	"10"	"0"	"2"	"3"	"1"	"1"	"2"	"0"	"1"	"7"	"597"	"0"	"12"	"609"	"0"
"24"	"11"	"252"	"183"	"34"	"5"	"8"	"5"	"7"	"3"	"4"	"2"	"11"	"7"	"521"	"0"	"17"	"538"	"0"
