"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 3-Purbi Champaran PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  283000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Pipra(17)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Avaneesh Kumar Singh"	"Binod Kumar Shrivastva"	"Radha Mohan Singh"	"Suresh Paswan"	"Anil Kumar Singh"	"Amit Kumar Choubey"	"Md. Nasiruddin"	"Pawan Kumar"	"Paras Nath Pandey"	"Moqim Ansari"	"Raghunath Gupta"	"Shatrughan Tiwari"	"Dilip Singh"	"Pramod Kumar Pandey"	"Shambhu Das"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"187"	"50"	"400"	"14"	"2"	"26"	"2"	"3"	"3"	"1"	"1"	"4"	"9"	"3"	"2"	"707"	"0"	"5"	"712"	"0"
"14"	"2"	"22"	"234"	"138"	"2"	"1"	"2"	"0"	"0"	"0"	"5"	"1"	"3"	"2"	"3"	"6"	"419"	"0"	"7"	"426"	"0"
"15"	"3"	"44"	"33"	"161"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"6"	"5"	"0"	"256"	"0"	"2"	"258"	"0"
"16"	"4"	"85"	"36"	"297"	"7"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"4"	"5"	"2"	"441"	"0"	"5"	"446"	"0"
"17"	"5"	"214"	"63"	"369"	"6"	"1"	"10"	"3"	"1"	"1"	"2"	"0"	"0"	"4"	"2"	"1"	"677"	"0"	"6"	"683"	"0"
"18"	"6"	"71"	"30"	"489"	"7"	"0"	"4"	"1"	"6"	"5"	"5"	"2"	"4"	"4"	"11"	"6"	"645"	"0"	"11"	"656"	"0"
"19"	"7"	"228"	"161"	"311"	"9"	"6"	"6"	"6"	"10"	"8"	"5"	"3"	"8"	"23"	"9"	"17"	"810"	"0"	"15"	"825"	"0"
"20"	"8"	"37"	"315"	"65"	"2"	"1"	"1"	"1"	"0"	"2"	"0"	"2"	"3"	"5"	"11"	"13"	"458"	"0"	"13"	"471"	"0"
"21"	"9"	"49"	"273"	"441"	"11"	"6"	"5"	"3"	"5"	"3"	"4"	"3"	"5"	"10"	"11"	"11"	"840"	"0"	"18"	"858"	"0"
