"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 10-Kishanganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  241514"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Thakurganj(53)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"AKHTARUL IMAN"	"DR. DILIP KUMAR JAISWAL"	"MD. NAUSHAD"	"MOHAMMAD ASRARUL HAQUE"	"ALIMUDDIN ANSARI"	"MD. GULAB SIDDIKI"	"MANUWER ALAM"	"MOHAMMAD WASIQUR RAHMAN"	"CHITRANJAN SINGH"	"CHHOTE LAL MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"23"	"561"	"10"	"227"	"8"	"1"	"1"	"1"	"1"	"1"	"834"	"0"	"3"	"837"	"0"
"14"	"2"	"8"	"353"	"16"	"156"	"15"	"5"	"6"	"8"	"6"	"7"	"580"	"0"	"13"	"593"	"0"
"15"	"3"	"29"	"354"	"6"	"387"	"8"	"4"	"4"	"5"	"7"	"5"	"809"	"0"	"8"	"817"	"0"
"16"	"4"	"35"	"706"	"13"	"206"	"9"	"10"	"7"	"16"	"5"	"23"	"1030"	"0"	"22"	"1052"	"0"
"17"	"5"	"11"	"63"	"6"	"428"	"6"	"4"	"2"	"4"	"5"	"3"	"532"	"0"	"3"	"535"	"0"
"18"	"6"	"13"	"161"	"14"	"342"	"6"	"3"	"6"	"5"	"4"	"7"	"561"	"0"	"13"	"574"	"0"
"19"	"7"	"22"	"344"	"14"	"526"	"10"	"5"	"11"	"7"	"9"	"10"	"958"	"0"	"23"	"981"	"0"
"20"	"8"	"22"	"655"	"9"	"69"	"4"	"2"	"4"	"2"	"3"	"9"	"779"	"0"	"9"	"788"	"0"
"21"	"9"	"16"	"636"	"10"	"53"	"7"	"3"	"1"	"2"	"2"	"3"	"733"	"0"	"5"	"738"	"0"
"22"	"10"	"51"	"442"	"22"	"167"	"15"	"4"	"6"	"7"	"7"	"12"	"733"	"0"	"17"	"750"	"0"
"23"	"11"	"27"	"162"	"28"	"658"	"28"	"10"	"10"	"8"	"10"	"5"	"946"	"0"	"23"	"969"	"0"
"24"	"12"	"16"	"376"	"18"	"494"	"11"	"5"	"0"	"4"	"5"	"7"	"936"	"0"	"21"	"957"	"0"
"25"	"13"	"24"	"492"	"23"	"440"	"22"	"7"	"14"	"9"	"15"	"18"	"1064"	"0"	"24"	"1088"	"0"
"26"	"14"	"24"	"354"	"20"	"499"	"6"	"5"	"2"	"6"	"3"	"9"	"928"	"0"	"20"	"948"	"0"
