"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 25-Khagaria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  222551"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Khagaria(149)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Krishna Kumari Yadav"	"Choudhary Mahboob Ali Kaiser"	"Jagdish Chandra Vasu"	"Dinesh Chandra Yadav"	"Rajesh Kumar"	"Ganesh Mukhiya Nishad"	"Tej Bahadur Singh"	"Brahamdeo Mukhia"	"Makkhan Sah"	"Rajeev Ranjan"	"Dr. Swami Vivekanand"	"Umesh Chandra Bharti"	"Satish Prasad Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"29"	"244"	"18"	"111"	"2"	"0"	"1"	"7"	"2"	"2"	"13"	"5"	"9"	"443"	"0"	"7"	"450"	"0"
"14"	"2"	"28"	"40"	"19"	"323"	"5"	"2"	"0"	"2"	"3"	"2"	"7"	"5"	"2"	"438"	"0"	"7"	"445"	"0"
"15"	"3"	"32"	"269"	"8"	"132"	"3"	"0"	"1"	"3"	"2"	"0"	"8"	"7"	"6"	"471"	"0"	"5"	"476"	"0"
"16"	"4"	"32"	"244"	"13"	"168"	"2"	"3"	"7"	"0"	"6"	"3"	"6"	"11"	"11"	"506"	"0"	"6"	"512"	"0"
"17"	"5"	"82"	"304"	"12"	"35"	"7"	"1"	"0"	"4"	"12"	"3"	"7"	"15"	"10"	"492"	"0"	"9"	"501"	"0"
"18"	"6"	"61"	"424"	"27"	"196"	"5"	"1"	"7"	"2"	"0"	"4"	"9"	"19"	"5"	"760"	"0"	"15"	"775"	"0"
"19"	"7"	"58"	"154"	"38"	"512"	"12"	"3"	"4"	"11"	"25"	"18"	"39"	"21"	"24"	"919"	"0"	"23"	"942"	"0"
"20"	"8"	"152"	"213"	"19"	"228"	"7"	"2"	"5"	"8"	"2"	"3"	"3"	"9"	"5"	"656"	"0"	"16"	"672"	"0"
"21"	"9"	"128"	"182"	"11"	"65"	"3"	"2"	"2"	"8"	"3"	"2"	"4"	"7"	"3"	"420"	"0"	"11"	"431"	"0"
"22"	"10"	"71"	"337"	"26"	"453"	"10"	"1"	"6"	"5"	"8"	"2"	"5"	"12"	"7"	"943"	"0"	"10"	"953"	"0"
