"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 35-Karakat PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Dehri(212)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kanti Singh"	"Mahabali Singh"	"Sanjay Kewat"	"Upendra Kushwaha"	"Ghulam Kundanam"	"Dinesh Kumar"	"Pradeep Kumar Joshi"	"Rajni Dubey"	"Raja Ram Singh"	"Veena Bharti"	"Imran Ali"	"Md. Diwas Ansari"	"Bhairaw Dayal Singh"	"Ram Dayal Singh"	"Satya Narayan Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"107"	"128"	"34"	"194"	"5"	"1"	"2"	"0"	"6"	"1"	"0"	"1"	"5"	"3"	"3"	"490"	"0"	"2"	"492"	"0"
"14"	"2"	"140"	"120"	"13"	"329"	"0"	"0"	"2"	"3"	"11"	"5"	"0"	"1"	"2"	"3"	"6"	"635"	"0"	"8"	"643"	"0"
"15"	"3"	"51"	"103"	"30"	"163"	"4"	"0"	"11"	"2"	"14"	"3"	"0"	"2"	"2"	"1"	"15"	"401"	"0"	"6"	"407"	"0"
"16"	"4"	"194"	"42"	"4"	"122"	"0"	"1"	"2"	"0"	"4"	"0"	"0"	"0"	"1"	"3"	"6"	"379"	"0"	"7"	"386"	"0"
"17"	"5"	"308"	"56"	"6"	"27"	"0"	"1"	"0"	"2"	"17"	"0"	"1"	"0"	"2"	"4"	"4"	"428"	"0"	"7"	"435"	"0"
"18"	"6"	"54"	"113"	"55"	"441"	"4"	"2"	"3"	"3"	"25"	"1"	"0"	"0"	"3"	"3"	"12"	"719"	"0"	"1"	"720"	"0"
"19"	"7"	"84"	"4"	"4"	"339"	"5"	"0"	"19"	"6"	"1"	"0"	"3"	"1"	"8"	"3"	"4"	"481"	"0"	"5"	"486"	"0"
"20"	"8"	"69"	"31"	"47"	"101"	"1"	"1"	"8"	"4"	"84"	"1"	"0"	"1"	"2"	"1"	"6"	"357"	"0"	"3"	"360"	"0"
"21"	"9"	"243"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"11"	"260"	"0"	"0"	"260"	"0"
