"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 21-Hajipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  297084"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Lalganj(124)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dhaneshwar Ram"	"Ram Sundar Das"	"Ramvilas Paswan"	"Sanjeev Prasad Toni"	"Ujjawal Kant Hunkar"	"Randhir Kumar Ram"	"Raj Kr. Paswan"	"Rina Ragni"	"Vidhan Chandra Rana"	"Virchandra Paswan"	"Satya Narayan Paswan"	"Upender Ram"	"Dina Nath Ram"	"Viphiya Devi"	"Suresh Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"6"	"14"	"363"	"86"	"2"	"4"	"2"	"0"	"1"	"0"	"2"	"8"	"14"	"18"	"5"	"525"	"0"	"5"	"530"	"0"
"14"	"1A"	"2"	"4"	"157"	"82"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"5"	"5"	"23"	"1"	"284"	"0"	"5"	"289"	"0"
"15"	"2"	"4"	"17"	"232"	"11"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"14"	"2"	"288"	"0"	"6"	"294"	"0"
"16"	"3"	"98"	"117"	"333"	"94"	"4"	"3"	"1"	"5"	"1"	"3"	"3"	"11"	"23"	"35"	"8"	"739"	"0"	"52"	"791"	"0"
"17"	"4"	"5"	"10"	"187"	"321"	"3"	"2"	"8"	"2"	"0"	"1"	"0"	"3"	"8"	"22"	"1"	"573"	"0"	"8"	"581"	"0"
"18"	"5"	"21"	"21"	"425"	"243"	"14"	"4"	"2"	"2"	"2"	"2"	"2"	"8"	"34"	"28"	"5"	"813"	"0"	"15"	"828"	"0"
"19"	"6"	"7"	"96"	"111"	"262"	"16"	"3"	"7"	"3"	"5"	"4"	"1"	"11"	"18"	"6"	"5"	"555"	"0"	"8"	"563"	"0"
"20"	"7"	"82"	"117"	"173"	"187"	"4"	"0"	"4"	"2"	"1"	"0"	"1"	"5"	"8"	"5"	"5"	"594"	"0"	"10"	"604"	"0"
"21"	"8"	"8"	"16"	"225"	"109"	"2"	"1"	"2"	"0"	"1"	"1"	"0"	"9"	"29"	"31"	"2"	"436"	"0"	"8"	"444"	"0"
