"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 23-Samastipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  218715"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kusheshwar Asthan(78)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dr Ashok Kumar"	"Maheshwar Hazari"	"Ram Chandra Ram"	"Ram Chandra Paswan"	"Amit Kumar"	"Ashok Paswan"	"Ganesh Kumar"	"Lal Bahadur Sada"	"Baleshwar Paswan"	"Vijay Kumar Ram"	"Shatrudhan Kumar Paswan"	"Mithilesh Kumar Rajak"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"129"	"50"	"7"	"225"	"6"	"2"	"4"	"7"	"17"	"5"	"3"	"4"	"459"	"0"	"6"	"465"	"0"
"14"	"2"	"233"	"28"	"6"	"170"	"1"	"2"	"0"	"5"	"21"	"11"	"8"	"16"	"501"	"0"	"19"	"520"	"0"
"15"	"3"	"329"	"53"	"6"	"164"	"6"	"2"	"6"	"2"	"12"	"2"	"8"	"6"	"596"	"0"	"18"	"614"	"0"
"16"	"4"	"359"	"125"	"4"	"20"	"3"	"3"	"5"	"4"	"2"	"4"	"7"	"6"	"542"	"0"	"20"	"562"	"0"
"17"	"5"	"311"	"66"	"15"	"150"	"3"	"6"	"8"	"6"	"17"	"7"	"9"	"7"	"605"	"0"	"13"	"618"	"0"
"18"	"6"	"215"	"28"	"4"	"314"	"10"	"3"	"16"	"1"	"11"	"7"	"7"	"11"	"627"	"0"	"23"	"650"	"0"
"19"	"7"	"105"	"49"	"7"	"187"	"7"	"4"	"4"	"3"	"7"	"11"	"6"	"9"	"399"	"0"	"28"	"427"	"0"
"20"	"8"	"129"	"74"	"5"	"159"	"6"	"2"	"6"	"5"	"12"	"4"	"6"	"7"	"415"	"0"	"29"	"444"	"0"
"21"	"9"	"37"	"69"	"7"	"249"	"8"	"6"	"4"	"2"	"10"	"5"	"8"	"4"	"409"	"0"	"13"	"422"	"0"
"22"	"9A"	"48"	"96"	"10"	"236"	"6"	"5"	"5"	"4"	"19"	"4"	"5"	"10"	"448"	"0"	"11"	"459"	"0"
"23"	"10"	"33"	"39"	"8"	"216"	"7"	"3"	"7"	"7"	"15"	"12"	"11"	"16"	"374"	"0"	"29"	"403"	"0"
"24"	"11"	"75"	"128"	"9"	"356"	"9"	"8"	"6"	"6"	"18"	"7"	"7"	"9"	"638"	"0"	"19"	"657"	"0"
