"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 18-Siwan PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  258510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Barharia(110)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Om Prakash Yadav"	"Ganesh Ram"	"Manoj Kumar Singh"	"Hena Shahab"	"Amar Nath Yadav"	"Khalil Miya"	"Nagendra Tiwari"	"Narad Pndit"	"Paramanand Gond"	"Parmeshwar Manjhi"	"Ranjan Kumar"	"Ram Binay Ray"	"Satya Prakash Pandey"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"326"	"10"	"12"	"152"	"10"	"7"	"5"	"3"	"4"	"1"	"5"	"10"	"7"	"552"	"0"	"21"	"573"	"0"
"14"	"2"	"264"	"17"	"8"	"29"	"4"	"2"	"0"	"3"	"1"	"2"	"6"	"8"	"6"	"350"	"0"	"20"	"370"	"0"
"15"	"3"	"133"	"2"	"15"	"754"	"12"	"3"	"1"	"0"	"2"	"2"	"4"	"2"	"1"	"931"	"0"	"3"	"934"	"0"
"16"	"4"	"235"	"3"	"4"	"160"	"5"	"0"	"0"	"1"	"0"	"2"	"2"	"5"	"3"	"420"	"0"	"6"	"426"	"0"
"17"	"5"	"389"	"12"	"8"	"242"	"5"	"3"	"0"	"1"	"0"	"2"	"11"	"2"	"1"	"676"	"0"	"8"	"684"	"0"
"18"	"6"	"325"	"32"	"64"	"290"	"6"	"9"	"1"	"3"	"5"	"4"	"19"	"20"	"20"	"798"	"0"	"28"	"826"	"0"
"19"	"7"	"266"	"3"	"10"	"658"	"4"	"2"	"0"	"1"	"3"	"0"	"6"	"4"	"3"	"960"	"0"	"14"	"974"	"0"
"20"	"8"	"145"	"6"	"5"	"368"	"3"	"2"	"1"	"1"	"1"	"2"	"9"	"4"	"4"	"551"	"0"	"11"	"562"	"0"
"21"	"8A"	"77"	"4"	"10"	"443"	"6"	"0"	"2"	"1"	"2"	"3"	"5"	"9"	"7"	"569"	"0"	"4"	"573"	"0"
"22"	"9"	"98"	"3"	"15"	"829"	"9"	"1"	"4"	"2"	"6"	"0"	"17"	"8"	"7"	"999"	"0"	"10"	"1009"	"0"
"23"	"10"	"175"	"8"	"18"	"650"	"12"	"3"	"1"	"2"	"2"	"4"	"4"	"5"	"12"	"896"	"0"	"8"	"904"	"0"
