"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 10-Kishanganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  242463"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bahadurganj(52)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"AKHTARUL IMAN"	"DR. DILIP KUMAR JAISWAL"	"MD. NAUSHAD"	"MOHAMMAD ASRARUL HAQUE"	"ALIMUDDIN ANSARI"	"MD. GULAB SIDDIKI"	"MANUWER ALAM"	"MOHAMMAD WASIQUR RAHMAN"	"CHITRANJAN SINGH"	"CHHOTE LAL MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"55"	"143"	"27"	"584"	"18"	"11"	"1"	"21"	"5"	"4"	"869"	"0"	"24"	"893"	"0"
"14"	"2"	"3"	"4"	"3"	"76"	"2"	"0"	"1"	"0"	"0"	"0"	"89"	"0"	"1"	"90"	"0"
"15"	"3"	"10"	"365"	"10"	"157"	"9"	"1"	"1"	"2"	"4"	"6"	"565"	"0"	"11"	"576"	"0"
"16"	"4"	"17"	"187"	"4"	"192"	"2"	"0"	"4"	"2"	"2"	"7"	"417"	"0"	"3"	"420"	"0"
"17"	"5"	"50"	"726"	"19"	"208"	"13"	"7"	"5"	"5"	"6"	"2"	"1041"	"0"	"7"	"1048"	"0"
"18"	"6"	"37"	"460"	"21"	"330"	"14"	"7"	"6"	"6"	"1"	"7"	"889"	"0"	"13"	"902"	"0"
"19"	"7"	"36"	"301"	"20"	"453"	"16"	"9"	"11"	"3"	"10"	"24"	"883"	"0"	"38"	"921"	"0"
"20"	"8"	"17"	"233"	"15"	"205"	"8"	"5"	"6"	"5"	"6"	"8"	"508"	"0"	"23"	"531"	"0"
"21"	"9"	"40"	"621"	"18"	"106"	"3"	"3"	"3"	"2"	"0"	"5"	"801"	"0"	"1"	"802"	"0"
"22"	"10"	"36"	"748"	"27"	"45"	"8"	"6"	"3"	"4"	"2"	"4"	"883"	"0"	"13"	"896"	"0"
"23"	"11"	"19"	"487"	"17"	"58"	"1"	"2"	"0"	"2"	"3"	"8"	"597"	"0"	"2"	"599"	"0"
"24"	"12"	"43"	"443"	"15"	"125"	"9"	"2"	"11"	"4"	"6"	"9"	"667"	"0"	"20"	"687"	"0"
"25"	"13"	"16"	"117"	"11"	"414"	"18"	"3"	"5"	"5"	"5"	"4"	"598"	"0"	"28"	"626"	"0"
"26"	"14"	"12"	"190"	"12"	"301"	"11"	"4"	"1"	"4"	"8"	"6"	"549"	"0"	"34"	"583"	"0"
