"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 8-Supaul PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  246510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Chhatapur(45)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Aman Kumar Samajsevi"	"Kameshwar Chaupal"	"Dileshwar Kamait"	"Ranjeet Ranjan"	"Jay Narayan Yadav"	"Dev Narayan Yadav"	"Parmeshwar Jha"	"Mohammad Amanullah"	"Shakaldev Mandal"	"Suresh Kumar Azad"	"Binod Kumar Sahu"	"Ramdev Sharma"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"15"	"350"	"73"	"130"	"3"	"3"	"5"	"2"	"4"	"5"	"8"	"5"	"603"	"0"	"3"	"606"	"0"
"14"	"2"	"5"	"425"	"30"	"69"	"1"	"1"	"2"	"1"	"0"	"4"	"2"	"10"	"550"	"0"	"18"	"568"	"0"
"15"	"3"	"1"	"148"	"30"	"70"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"254"	"0"	"7"	"261"	"0"
"16"	"4"	"5"	"302"	"24"	"75"	"2"	"0"	"10"	"1"	"2"	"0"	"3"	"3"	"427"	"0"	"4"	"431"	"0"
"17"	"5"	"20"	"350"	"131"	"56"	"6"	"1"	"13"	"3"	"2"	"3"	"3"	"5"	"593"	"0"	"9"	"602"	"0"
"18"	"6"	"11"	"541"	"86"	"98"	"5"	"1"	"8"	"1"	"3"	"6"	"5"	"6"	"771"	"0"	"19"	"790"	"0"
"19"	"7"	"15"	"283"	"26"	"210"	"2"	"3"	"3"	"0"	"1"	"4"	"4"	"12"	"563"	"0"	"14"	"577"	"0"
"20"	"8"	"12"	"503"	"60"	"309"	"11"	"5"	"9"	"3"	"11"	"7"	"8"	"9"	"947"	"0"	"24"	"971"	"0"
"21"	"9"	"18"	"387"	"154"	"240"	"9"	"12"	"6"	"2"	"1"	"7"	"13"	"9"	"858"	"0"	"21"	"879"	"0"
"22"	"10"	"5"	"211"	"56"	"9"	"1"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"288"	"0"	"0"	"288"	"0"
"23"	"11"	"10"	"75"	"183"	"56"	"1"	"3"	"4"	"1"	"0"	"11"	"3"	"4"	"351"	"0"	"21"	"372"	"0"
"24"	"12"	"11"	"310"	"87"	"192"	"6"	"4"	"6"	"4"	"9"	"8"	"10"	"18"	"665"	"0"	"30"	"695"	"0"
