"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 29-Nalanda PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Nalanda(176)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashish Ranjan Sinha"	"Kaushlendr a Kumar"	"Sanjay Kumar"	"Satyanand Sharma"	"Dhirendra Kumar"	"Nayeb Ali"	"Niraj Sharma"	"Pranav Prakash"	"Pramod Kumar Nirala"	"Bhola Sao"	"Mahesh Paswan"	"Yogendra Prasad"	"Rakesh Ranjan Sinha"	"Lallu Ram"	"Shashi Yadav"	"Shailesh Kumar"	"Awadh Kumar"	"Kaushal Kumar Kaushlendr a Sinha Alias Bharat Manas"	"Naresh Prasad Singh"	"Munna Prasad"	"Lata Sinha"	"Vishwajit Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"13"	"1"	"38"	"191"	"6"	"87"	"3"	"1"	"1"	"11"	"3"	"1"	"0"	"0"	"8"	"1"	"4"	"3"	"0"	"1"	"1"	"1"	"1"	"0"	"362"	"0"	"3"	"365"	"0"
"14"	"2"	"7"	"252"	"3"	"200"	"1"	"2"	"1"	"32"	"4"	"0"	"0"	"0"	"6"	"3"	"5"	"1"	"7"	"15"	"3"	"6"	"2"	"1"	"551"	"0"	"6"	"557"	"0"
"15"	"3"	"25"	"191"	"9"	"381"	"14"	"4"	"3"	"4"	"3"	"3"	"7"	"6"	"32"	"9"	"9"	"24"	"11"	"8"	"4"	"18"	"5"	"2"	"772"	"0"	"6"	"778"	"0"
"16"	"4"	"11"	"292"	"6"	"245"	"40"	"3"	"2"	"6"	"1"	"2"	"2"	"4"	"2"	"3"	"3"	"3"	"3"	"27"	"4"	"21"	"12"	"5"	"697"	"0"	"7"	"704"	"0"
