"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 21-Hajipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  298670"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Hajipur(123)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dhaneshwar Ram"	"Ram Sundar Das"	"Ramvilas Paswan"	"Sanjeev Prasad Toni"	"Ujjawal Kant Hunkar"	"Randhir Kumar Ram"	"Raj Kr. Paswan"	"Rina Ragni"	"Vidhan Chandra Rana"	"Virchandra Paswan"	"Satya Narayan Paswan"	"Upender Ram"	"Dina Nath Ram"	"Viphiya Devi"	"Suresh Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"0"	"2"	"563"	"34"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"607"	"0"	"2"	"609"	"0"
"14"	"1A"	"0"	"3"	"484"	"25"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"518"	"0"	"0"	"518"	"0"
"15"	"2"	"16"	"186"	"174"	"17"	"2"	"5"	"3"	"2"	"2"	"1"	"1"	"5"	"7"	"8"	"11"	"440"	"0"	"11"	"451"	"0"
"16"	"3"	"6"	"13"	"99"	"361"	"12"	"2"	"3"	"0"	"3"	"2"	"1"	"1"	"11"	"8"	"4"	"526"	"0"	"4"	"530"	"0"
"17"	"3A"	"0"	"10"	"168"	"241"	"3"	"2"	"2"	"1"	"1"	"1"	"0"	"2"	"3"	"8"	"2"	"444"	"0"	"6"	"450"	"0"
"18"	"4"	"13"	"20"	"246"	"60"	"3"	"8"	"4"	"4"	"4"	"8"	"6"	"6"	"26"	"17"	"9"	"434"	"0"	"21"	"455"	"0"
"19"	"5"	"3"	"125"	"330"	"58"	"4"	"1"	"4"	"0"	"2"	"0"	"1"	"10"	"8"	"9"	"10"	"565"	"0"	"10"	"575"	"0"
"20"	"6"	"8"	"95"	"349"	"93"	"6"	"4"	"6"	"3"	"2"	"1"	"0"	"10"	"31"	"29"	"8"	"645"	"0"	"14"	"659"	"0"
"21"	"7"	"14"	"72"	"384"	"236"	"5"	"4"	"8"	"8"	"3"	"2"	"3"	"25"	"45"	"31"	"9"	"849"	"0"	"21"	"870"	"0"
