"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 13-Madhepura PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  325307"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Saharsa(75)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Guljar Kumar"	"Rajesh Ranjan @ Pappu Yadav"	"Vijay Kumar Singh"	"Sharad Yadav"	"Anwar Alam"	"Chandrashekhar Yadav"	"Bhikha Paswan"	"Mohammad Arshad Hussain"	"Sajan Kumar Jha"	"Prasanna Kumar"	"Mina Devi"	"Rajo Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"14"	"199"	"259"	"83"	"6"	"5"	"3"	"2"	"3"	"4"	"2"	"0"	"580"	"0"	"5"	"585"	"0"
"14"	"2"	"6"	"98"	"248"	"116"	"2"	"1"	"4"	"11"	"2"	"3"	"8"	"7"	"506"	"0"	"14"	"520"	"0"
"15"	"3"	"8"	"148"	"349"	"254"	"5"	"3"	"4"	"9"	"2"	"3"	"6"	"12"	"803"	"0"	"8"	"811"	"0"
"16"	"4"	"12"	"101"	"210"	"460"	"20"	"7"	"8"	"18"	"6"	"6"	"6"	"10"	"864"	"0"	"24"	"888"	"0"
"17"	"5"	"6"	"84"	"495"	"245"	"4"	"1"	"9"	"6"	"0"	"7"	"14"	"8"	"879"	"0"	"26"	"905"	"0"
"18"	"6"	"17"	"62"	"245"	"335"	"10"	"4"	"8"	"19"	"6"	"2"	"5"	"4"	"717"	"0"	"8"	"725"	"0"
"19"	"7"	"23"	"154"	"91"	"280"	"7"	"1"	"2"	"16"	"1"	"2"	"7"	"12"	"596"	"0"	"21"	"617"	"0"
"20"	"8"	"14"	"354"	"258"	"72"	"5"	"7"	"8"	"4"	"5"	"2"	"6"	"5"	"740"	"0"	"8"	"748"	"0"
"21"	"9"	"11"	"56"	"207"	"368"	"11"	"0"	"8"	"20"	"3"	"2"	"2"	"1"	"689"	"0"	"11"	"700"	"0"
"22"	"10"	"6"	"149"	"199"	"218"	"6"	"0"	"3"	"12"	"4"	"3"	"5"	"1"	"606"	"0"	"11"	"617"	"0"
"23"	"11"	"10"	"456"	"104"	"87"	"16"	"4"	"0"	"1"	"2"	"0"	"2"	"6"	"688"	"0"	"5"	"693"	"0"
"24"	"12"	"4"	"56"	"327"	"48"	"3"	"1"	"4"	"8"	"3"	"4"	"11"	"4"	"473"	"0"	"8"	"481"	"0"
