"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 21-Hajipur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  255029"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Mahua(126)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Dhaneshwar Ram"	"Ram Sundar Das"	"Ramvilas Paswan"	"Sanjeev Prasad Toni"	"Ujjawal Kant Hunkar"	"Randhir Kumar Ram"	"Raj Kr. Paswan"	"Rina Ragni"	"Vidhan Chandra Rana"	"Virchandra Paswan"	"Satya Narayan Paswan"	"Upender Ram"	"Dina Nath Ram"	"Viphiya Devi"	"Suresh Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"15"	"70"	"455"	"181"	"10"	"5"	"5"	"3"	"2"	"2"	"2"	"4"	"9"	"7"	"4"	"774"	"0"	"3"	"777"	"0"
"14"	"2"	"4"	"87"	"371"	"139"	"10"	"7"	"7"	"2"	"3"	"1"	"5"	"8"	"15"	"29"	"8"	"696"	"0"	"23"	"719"	"0"
"15"	"3"	"2"	"155"	"181"	"73"	"4"	"5"	"7"	"1"	"3"	"4"	"3"	"7"	"6"	"15"	"7"	"473"	"0"	"16"	"489"	"0"
"16"	"4"	"8"	"92"	"362"	"308"	"5"	"5"	"10"	"4"	"4"	"5"	"2"	"10"	"17"	"27"	"6"	"865"	"0"	"16"	"881"	"0"
"17"	"5"	"9"	"7"	"50"	"317"	"9"	"1"	"5"	"0"	"2"	"0"	"1"	"9"	"17"	"9"	"4"	"440"	"0"	"14"	"454"	"0"
"18"	"6"	"14"	"71"	"255"	"191"	"10"	"5"	"5"	"5"	"2"	"5"	"5"	"13"	"25"	"25"	"10"	"641"	"0"	"14"	"655"	"0"
"19"	"7"	"5"	"78"	"539"	"213"	"10"	"5"	"2"	"5"	"2"	"3"	"1"	"13"	"27"	"30"	"9"	"942"	"0"	"23"	"965"	"0"
"20"	"8"	"7"	"71"	"202"	"334"	"15"	"3"	"9"	"5"	"1"	"2"	"6"	"3"	"20"	"15"	"2"	"695"	"0"	"12"	"707"	"0"
"21"	"9"	"5"	"38"	"319"	"180"	"6"	"6"	"2"	"3"	"4"	"6"	"6"	"11"	"10"	"10"	"5"	"611"	"0"	"13"	"624"	"0"
