"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 37-Aurangabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  243279"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Gurua(225)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Nikhil Kumar"	"Bagi Kumar Verma"	"Santosh Kumar"	"Sushil Kumar Singh"	"Upendra Nath"	"Usha Sharan"	"Ragini Lata Singh"	"Rita Devi"	"Durga Thakur"	"Rakesh Sharma"	"Ramji Singh"	"Bijeet Kumar"	"Somaru Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"269"	"12"	"4"	"71"	"1"	"0"	"1"	"0"	"1"	"4"	"4"	"4"	"5"	"376"	"0"	"4"	"380"	"0"
"14"	"2"	"65"	"93"	"3"	"120"	"4"	"1"	"1"	"3"	"0"	"1"	"1"	"2"	"1"	"295"	"0"	"6"	"301"	"0"
"15"	"3"	"173"	"37"	"1"	"26"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"240"	"0"	"8"	"248"	"0"
"16"	"4"	"32"	"44"	"4"	"288"	"7"	"1"	"0"	"1"	"0"	"3"	"3"	"1"	"5"	"389"	"0"	"12"	"401"	"0"
"17"	"5"	"218"	"1"	"0"	"11"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"1"	"238"	"0"	"3"	"241"	"0"
"18"	"6"	"207"	"3"	"1"	"6"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"222"	"0"	"4"	"226"	"0"
"19"	"7"	"57"	"23"	"105"	"279"	"2"	"3"	"4"	"2"	"3"	"3"	"3"	"10"	"2"	"496"	"0"	"7"	"503"	"0"
"20"	"8"	"292"	"135"	"22"	"102"	"2"	"3"	"7"	"8"	"0"	"4"	"4"	"5"	"15"	"599"	"0"	"18"	"617"	"0"
"21"	"9"	"70"	"41"	"64"	"38"	"4"	"4"	"4"	"2"	"5"	"1"	"3"	"3"	"3"	"242"	"0"	"17"	"259"	"0"
"22"	"10"	"69"	"1"	"2"	"255"	"1"	"2"	"3"	"0"	"4"	"98"	"2"	"0"	"0"	"437"	"0"	"2"	"439"	"0"
"23"	"11"	"142"	"261"	"12"	"55"	"3"	"3"	"45"	"3"	"2"	"1"	"2"	"3"	"13"	"545"	"0"	"7"	"552"	"0"
