"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 16-Vaishali PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  247394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Baruraj(96)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Raghuvans h Prasad Singh"	"Rama Kishore Singh"	"Vijay Kumar Sahni"	"Shankar Mahto"	"Indradeo Roy"	"Jaynaraya n Sah"	"Md.
Naushad"	"Parmeshw ar Ram"	"Mukesh Ram"	"Raaj Mangal Prasad"	"Vinod Pandit"	"Md. Hasib"	"Anu Shukla"	"Jitendra Prasad"	"Balendra Singh"	"Dr.
Mohamma d Nabi Hassan"	"Mohamma d Umar Ansari"	"Ranjeet Kumar Jha"	"Ram Pukar Rai"	"Rameshwa r Sah"	"Lalji Kumar Rakesh"	"Sandhya Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"13"	"1"	"153"	"417"	"12"	"3"	"1"	"3"	"1"	"3"	"3"	"3"	"2"	"16"	"62"	"4"	"24"	"32"	"3"	"10"	"2"	"0"	"0"	"2"	"756"	"0"	"3"	"759"	"0"
"14"	"2"	"27"	"239"	"24"	"8"	"3"	"2"	"0"	"1"	"2"	"10"	"2"	"12"	"125"	"9"	"36"	"16"	"5"	"15"	"8"	"0"	"4"	"5"	"553"	"0"	"5"	"558"	"0"
"15"	"3"	"27"	"181"	"44"	"10"	"1"	"1"	"2"	"4"	"5"	"4"	"3"	"8"	"125"	"12"	"21"	"32"	"6"	"12"	"3"	"3"	"1"	"3"	"508"	"0"	"6"	"514"	"0"
"16"	"4"	"209"	"288"	"19"	"3"	"2"	"1"	"1"	"2"	"3"	"6"	"3"	"8"	"43"	"9"	"23"	"16"	"5"	"15"	"6"	"2"	"0"	"2"	"666"	"0"	"4"	"670"	"0"
