"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 9-Araria PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  265413"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Araria(49)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"ABDUL RAHMAN"	"TASLEEM UDDIN"	"PRADEEP KUMAR SINGH"	"VIJAY KUMAR MANDAL"	"MD. ASLAM BEG"	"CHANDRA BHUSHAN"	"RAJESH KUMAR"	"RAMANAND RISHIDEO"	"BIDAYANAND PASWAN"	"SANJAY KUMAR RISHIDEV"	"SAR WAT JAHRE ANSARI"	"ALAMDAR HUSSAIN"	"PANKAJ KISHOR MANDAL"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"25"	"485"	"138"	"86"	"4"	"8"	"8"	"4"	"3"	"3"	"2"	"2"	"11"	"779"	"0"	"20"	"799"	"0"
"14"	"2"	"8"	"67"	"291"	"198"	"2"	"0"	"0"	"2"	"1"	"4"	"1"	"2"	"4"	"580"	"0"	"3"	"583"	"0"
"15"	"3"	"6"	"147"	"40"	"292"	"9"	"6"	"2"	"2"	"0"	"4"	"2"	"0"	"2"	"512"	"0"	"1"	"513"	"0"
"16"	"4"	"11"	"82"	"299"	"337"	"3"	"5"	"3"	"2"	"3"	"5"	"6"	"4"	"4"	"764"	"0"	"9"	"773"	"0"
"17"	"5"	"7"	"162"	"59"	"235"	"2"	"4"	"2"	"6"	"2"	"5"	"2"	"6"	"10"	"502"	"0"	"15"	"517"	"0"
"18"	"5A"	"2"	"40"	"103"	"489"	"7"	"14"	"6"	"2"	"7"	"8"	"12"	"3"	"9"	"702"	"0"	"12"	"714"	"0"
"19"	"6"	"9"	"18"	"203"	"461"	"8"	"25"	"11"	"5"	"3"	"11"	"21"	"9"	"9"	"793"	"0"	"19"	"812"	"0"
"20"	"7"	"12"	"220"	"300"	"154"	"3"	"4"	"0"	"3"	"0"	"1"	"3"	"5"	"6"	"711"	"0"	"10"	"721"	"0"
"21"	"8"	"1"	"30"	"166"	"344"	"1"	"6"	"4"	"4"	"0"	"4"	"9"	"4"	"4"	"577"	"0"	"7"	"584"	"0"
"22"	"9"	"8"	"410"	"40"	"143"	"4"	"2"	"2"	"1"	"0"	"6"	"6"	"6"	"10"	"638"	"0"	"20"	"658"	"0"
