"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 40-Jamui PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  264743"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sikandra(240)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Uday Narain Choudhary"	"Chirag Kumar Paswan"	"Brahmdev Anand Paswan"	"Sudhansu Shekhar Bhaskar"	"Upendra Ravidas"	"Jay Prakash Das"	"Vinod Kumar Das"	"Vishun Choudhary"	"Dilip Kumar"	"Manoj Kumar Manjhi"	"Subhash Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"34"	"20"	"2"	"137"	"2"	"0"	"1"	"2"	"5"	"18"	"2"	"223"	"0"	"4"	"227"	"0"
"14"	"2"	"66"	"20"	"0"	"196"	"2"	"2"	"2"	"3"	"7"	"32"	"1"	"331"	"0"	"3"	"334"	"0"
"15"	"3"	"13"	"392"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"407"	"0"	"1"	"408"	"0"
"16"	"4"	"14"	"110"	"8"	"99"	"1"	"1"	"2"	"2"	"2"	"10"	"0"	"249"	"0"	"3"	"252"	"0"
"17"	"5"	"70"	"240"	"2"	"18"	"0"	"0"	"2"	"1"	"1"	"5"	"5"	"344"	"0"	"8"	"352"	"0"
"18"	"6"	"88"	"291"	"9"	"9"	"1"	"3"	"1"	"0"	"0"	"3"	"1"	"406"	"0"	"1"	"407"	"0"
"19"	"7"	"61"	"135"	"11"	"374"	"19"	"5"	"2"	"9"	"8"	"4"	"13"	"641"	"0"	"25"	"666"	"0"
"20"	"8"	"52"	"124"	"7"	"344"	"16"	"6"	"5"	"14"	"9"	"11"	"8"	"596"	"0"	"23"	"619"	"0"
"21"	"9"	"23"	"42"	"5"	"282"	"4"	"3"	"1"	"2"	"8"	"1"	"4"	"375"	"0"	"4"	"379"	"0"
"22"	"10"	"22"	"14"	"21"	"442"	"6"	"3"	"3"	"3"	"4"	"3"	"1"	"522"	"0"	"3"	"525"	"0"
"23"	"11"	"40"	"14"	"1"	"354"	"6"	"3"	"2"	"1"	"2"	"4"	"2"	"429"	"0"	"7"	"436"	"0"
"24"	"12"	"151"	"193"	"18"	"284"	"11"	"0"	"5"	"2"	"8"	"8"	"5"	"685"	"0"	"16"	"701"	"0"
"25"	"13"	"44"	"66"	"4"	"145"	"6"	"1"	"1"	"1"	"0"	"1"	"1"	"270"	"0"	"3"	"273"	"0"
