"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 12-Purnea PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  271251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Banmankhi(59)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Amarnath Tiwari"	"Uday Singh alias Pappu Singh"	"Raj Kumar Oraon"	"Santosh Kumar"	"Anil Kumar Mahto"	"Pankaj Kumar Singh"	"Pramod Narayan Poddar"	"Fagu Marandi"	"Mansur Alam"	"Md.
Shamsher Aalam"	"MD Shahid Akthar"	"Syed Shah Ekbal Alam"	"Sudeep Roy"	"Md Akthar Ali"	"Kunj Bihari Paswan"	"Nawlesh Pathak"	"Sanjay Singh"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"34"	"275"	"13"	"359"	"6"	"2"	"3"	"3"	"7"	"34"	"6"	"3"	"20"	"9"	"9"	"20"	"16"	"819"	"0"	"21"	"840"	"0"
"14"	"2"	"173"	"131"	"9"	"172"	"4"	"3"	"1"	"1"	"3"	"9"	"0"	"3"	"7"	"3"	"3"	"27"	"7"	"556"	"0"	"5"	"561"	"0"
"15"	"3"	"662"	"22"	"4"	"53"	"2"	"0"	"0"	"4"	"1"	"8"	"2"	"3"	"6"	"2"	"5"	"33"	"24"	"831"	"0"	"4"	"835"	"0"
"16"	"4"	"171"	"30"	"5"	"147"	"5"	"1"	"3"	"2"	"1"	"5"	"2"	"3"	"5"	"2"	"5"	"13"	"29"	"429"	"0"	"13"	"442"	"0"
"17"	"5"	"96"	"123"	"13"	"334"	"5"	"2"	"2"	"2"	"6"	"13"	"3"	"3"	"9"	"2"	"8"	"12"	"3"	"636"	"0"	"2"	"638"	"0"
"18"	"6"	"317"	"172"	"11"	"202"	"5"	"3"	"9"	"1"	"7"	"29"	"7"	"7"	"20"	"14"	"16"	"65"	"21"	"906"	"0"	"25"	"931"	"0"
"19"	"7"	"252"	"99"	"6"	"90"	"2"	"1"	"1"	"3"	"3"	"17"	"1"	"3"	"9"	"7"	"7"	"9"	"6"	"516"	"0"	"5"	"521"	"0"
