"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 29-Nalanda PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Asthawan(171)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashish Ranjan Sinha"	"Kaushlendr a Kumar"	"Sanjay Kumar"	"Satyanand Sharma"	"Dhirendra Kumar"	"Nayeb Ali"	"Niraj Sharma"	"Pranav Prakash"	"Pramod Kumar Nirala"	"Bhola Sao"	"Mahesh Paswan"	"Yogendra Prasad"	"Rakesh Ranjan Sinha"	"Lallu Ram"	"Shashi Yadav"	"Shailesh Kumar"	"Awadh Kumar"	"Kaushal Kumar Kaushlendr a Sinha Alias Bharat Manas"	"Naresh Prasad Singh"	"Munna Prasad"	"Lata Sinha"	"Vishwajit Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"13"	"1"	"38"	"364"	"18"	"41"	"2"	"2"	"0"	"4"	"2"	"2"	"4"	"1"	"4"	"1"	"11"	"5"	"2"	"3"	"1"	"0"	"1"	"0"	"506"	"0"	"0"	"506"	"0"
"14"	"2"	"9"	"206"	"105"	"106"	"7"	"4"	"3"	"115"	"4"	"0"	"7"	"6"	"9"	"3"	"8"	"10"	"4"	"1"	"5"	"0"	"1"	"0"	"613"	"0"	"5"	"618"	"0"
"15"	"3"	"45"	"174"	"25"	"61"	"0"	"0"	"1"	"9"	"2"	"1"	"0"	"1"	"3"	"2"	"11"	"6"	"4"	"2"	"0"	"0"	"2"	"2"	"351"	"0"	"3"	"354"	"0"
"16"	"4"	"19"	"139"	"6"	"212"	"9"	"1"	"1"	"5"	"1"	"0"	"1"	"3"	"6"	"1"	"6"	"10"	"1"	"1"	"2"	"2"	"3"	"0"	"429"	"0"	"0"	"429"	"0"
