"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 8-Supaul PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  252583"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Supaul(43)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Aman Kumar Samajsevi"	"Kameshwar Chaupal"	"Dileshwar Kamait"	"Ranjeet Ranjan"	"Jay Narayan Yadav"	"Dev Narayan Yadav"	"Parmeshwar Jha"	"Mohammad Amanullah"	"Shakaldev Mandal"	"Suresh Kumar Azad"	"Binod Kumar Sahu"	"Ramdev Sharma"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"9"	"82"	"423"	"122"	"34"	"6"	"7"	"4"	"6"	"10"	"9"	"6"	"718"	"0"	"22"	"740"	"0"
"14"	"2"	"16"	"130"	"397"	"152"	"40"	"3"	"8"	"6"	"4"	"11"	"6"	"10"	"783"	"0"	"18"	"801"	"0"
"15"	"3"	"20"	"164"	"555"	"101"	"8"	"2"	"6"	"3"	"5"	"6"	"4"	"11"	"885"	"0"	"23"	"908"	"0"
"16"	"4"	"9"	"26"	"531"	"55"	"13"	"5"	"8"	"3"	"2"	"16"	"8"	"11"	"687"	"0"	"17"	"704"	"0"
"17"	"5"	"19"	"308"	"263"	"290"	"17"	"5"	"9"	"2"	"4"	"13"	"7"	"11"	"948"	"0"	"10"	"958"	"0"
"18"	"6"	"16"	"88"	"811"	"73"	"9"	"3"	"10"	"3"	"7"	"7"	"7"	"3"	"1037"	"0"	"7"	"1044"	"0"
"19"	"7"	"14"	"42"	"446"	"59"	"1"	"1"	"2"	"0"	"1"	"3"	"2"	"2"	"573"	"0"	"1"	"574"	"0"
"20"	"7A"	"8"	"30"	"386"	"135"	"3"	"0"	"4"	"3"	"0"	"5"	"1"	"3"	"578"	"0"	"6"	"584"	"0"
"21"	"8"	"8"	"20"	"158"	"102"	"2"	"1"	"2"	"0"	"0"	"3"	"0"	"3"	"299"	"0"	"2"	"301"	"0"
"22"	"9"	"26"	"285"	"151"	"118"	"24"	"4"	"7"	"3"	"3"	"12"	"3"	"3"	"639"	"0"	"7"	"646"	"0"
"23"	"10"	"28"	"155"	"509"	"47"	"11"	"2"	"5"	"3"	"8"	"9"	"5"	"7"	"789"	"0"	"18"	"807"	"0"
"24"	"11"	"17"	"53"	"620"	"21"	"3"	"2"	"9"	"3"	"5"	"7"	"8"	"6"	"754"	"0"	"6"	"760"	"0"
