"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 19-Maharajganj PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  264583"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Taraiya(116)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"JANARDAN SINGH “SIGRIWAL”"	"NAGENDRA PRASAD"	"PRABHU NATH SINGH"	"MANORANJAN SINGH"	"BYAS MANJHI"	"RINA RANI"	"UMASHANKAR TIWARI"	"DR. GOPAL PRASAD"	"BRINDA PATHAK"	"SHIV NATH MAHTO"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"13"	"1"	"128"	"4"	"141"	"54"	"2"	"0"	"9"	"6"	"9"	"6"	"359"	"0"	"11"	"370"	"0"
"14"	"2"	"145"	"5"	"179"	"33"	"1"	"1"	"11"	"4"	"8"	"6"	"393"	"0"	"7"	"400"	"0"
"15"	"3"	"117"	"9"	"170"	"160"	"5"	"8"	"17"	"14"	"14"	"14"	"528"	"0"	"25"	"553"	"0"
"16"	"4"	"158"	"7"	"382"	"132"	"6"	"11"	"15"	"14"	"19"	"8"	"752"	"0"	"18"	"770"	"0"
"17"	"5"	"324"	"6"	"184"	"139"	"3"	"9"	"35"	"19"	"26"	"17"	"762"	"0"	"55"	"817"	"0"
"18"	"6"	"50"	"15"	"388"	"43"	"5"	"2"	"3"	"4"	"12"	"5"	"527"	"0"	"4"	"531"	"0"
"19"	"7"	"191"	"9"	"37"	"126"	"5"	"5"	"22"	"14"	"12"	"7"	"428"	"0"	"24"	"452"	"0"
"20"	"8"	"161"	"8"	"45"	"149"	"1"	"4"	"6"	"13"	"16"	"5"	"408"	"0"	"22"	"430"	"0"
"21"	"9"	"92"	"8"	"154"	"101"	"0"	"4"	"6"	"10"	"16"	"5"	"396"	"0"	"8"	"404"	"0"
"22"	"10"	"14"	"4"	"446"	"66"	"2"	"4"	"5"	"2"	"5"	"1"	"549"	"0"	"11"	"560"	"0"
"23"	"11"	"193"	"2"	"95"	"352"	"8"	"7"	"13"	"28"	"17"	"10"	"725"	"0"	"24"	"749"	"0"
"24"	"12"	"130"	"7"	"158"	"111"	"0"	"4"	"14"	"2"	"11"	"1"	"438"	"0"	"9"	"447"	"0"
"25"	"12A"	"144"	"2"	"53"	"253"	"1"	"1"	"8"	"7"	"4"	"6"	"479"	"0"	"2"	"481"	"0"
"26"	"13"	"299"	"10"	"168"	"168"	"9"	"8"	"21"	"14"	"25"	"7"	"729"	"0"	"23"	"752"	"0"
