"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 40-Jamui PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  214603"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sheikhpura(169)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Uday Narain Choudhary"	"Chirag Kumar Paswan"	"Brahmdev Anand Paswan"	"Sudhansu Shekhar Bhaskar"	"Upendra Ravidas"	"Jay Prakash Das"	"Vinod Kumar Das"	"Vishun Choudhary"	"Dilip Kumar"	"Manoj Kumar Manjhi"	"Subhash Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"153"	"239"	"9"	"23"	"2"	"0"	"2"	"5"	"3"	"2"	"3"	"441"	"0"	"19"	"460"	"0"
"14"	"2"	"234"	"39"	"1"	"33"	"3"	"0"	"3"	"3"	"0"	"1"	"6"	"323"	"0"	"6"	"329"	"0"
"15"	"3"	"187"	"55"	"8"	"279"	"9"	"2"	"3"	"8"	"5"	"3"	"9"	"568"	"0"	"17"	"585"	"0"
"16"	"4"	"117"	"317"	"4"	"13"	"1"	"1"	"3"	"4"	"4"	"4"	"6"	"474"	"0"	"14"	"488"	"0"
"17"	"5"	"156"	"225"	"9"	"66"	"8"	"1"	"4"	"3"	"5"	"7"	"11"	"495"	"0"	"19"	"514"	"0"
"18"	"6"	"226"	"113"	"2"	"4"	"5"	"6"	"7"	"1"	"1"	"4"	"15"	"384"	"0"	"12"	"396"	"0"
"19"	"7"	"193"	"173"	"1"	"24"	"3"	"0"	"2"	"1"	"1"	"0"	"4"	"402"	"0"	"3"	"405"	"0"
"20"	"8"	"227"	"271"	"8"	"6"	"6"	"2"	"6"	"6"	"3"	"8"	"9"	"552"	"0"	"20"	"572"	"0"
"21"	"9"	"254"	"261"	"14"	"130"	"8"	"13"	"11"	"8"	"10"	"10"	"24"	"743"	"0"	"18"	"761"	"0"
"22"	"10"	"160"	"56"	"3"	"172"	"7"	"1"	"6"	"4"	"7"	"0"	"4"	"420"	"0"	"7"	"427"	"0"
"23"	"11"	"251"	"41"	"6"	"141"	"6"	"2"	"3"	"5"	"1"	"3"	"5"	"464"	"0"	"11"	"475"	"0"
"24"	"12"	"131"	"202"	"2"	"41"	"3"	"1"	"1"	"4"	"2"	"0"	"6"	"393"	"0"	"10"	"403"	"0"
"25"	"13"	"132"	"30"	"1"	"21"	"0"	"0"	"2"	"0"	"1"	"0"	"2"	"189"	"0"	"2"	"191"	"0"
