"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 16-Vaishali PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  284639"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Vaishali(125)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Raghuvans h Prasad Singh"	"Rama Kishore Singh"	"Vijay Kumar Sahni"	"Shankar Mahto"	"Indradeo Roy"	"Jaynaraya n Sah"	"Md.
Naushad"	"Parmeshw ar Ram"	"Mukesh Ram"	"Raaj Mangal Prasad"	"Vinod Pandit"	"Md. Hasib"	"Anu Shukla"	"Jitendra Prasad"	"Balendra Singh"	"Dr.
Mohamma d Nabi Hassan"	"Mohamma d Umar Ansari"	"Ranjeet Kumar Jha"	"Ram Pukar Rai"	"Rameshwa r Sah"	"Lalji Kumar Rakesh"	"Sandhya Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"13"	"1"	"24"	"162"	"11"	"14"	"4"	"1"	"2"	"6"	"7"	"6"	"6"	"9"	"197"	"5"	"10"	"10"	"5"	"2"	"0"	"5"	"0"	"0"	"486"	"0"	"4"	"490"	"0"
"14"	"2"	"13"	"115"	"11"	"10"	"0"	"0"	"2"	"3"	"4"	"10"	"10"	"8"	"169"	"4"	"10"	"10"	"1"	"0"	"2"	"0"	"1"	"0"	"383"	"0"	"1"	"384"	"0"
"15"	"3"	"219"	"40"	"134"	"6"	"2"	"0"	"0"	"2"	"3"	"8"	"1"	"4"	"19"	"7"	"3"	"10"	"7"	"1"	"4"	"1"	"1"	"1"	"473"	"0"	"0"	"473"	"0"
"16"	"4"	"209"	"66"	"8"	"3"	"1"	"1"	"2"	"4"	"5"	"6"	"2"	"4"	"41"	"3"	"7"	"24"	"11"	"2"	"0"	"0"	"0"	"1"	"400"	"0"	"0"	"400"	"0"
