"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 5-Sitamarhi PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  266946"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bathnaha(24)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Arjun Rai"	"Mahesh Kumar"	"Sitaram Yadav"	"Kishori Das"	"Jay Kumar Chaudhary"	"Bharat Bhushan Sahni"	"Mahendra Prasad"	"Rajeev Ranjan"	"Ram Kumar Sharma"	"Satyendra Bhandari"	"Surendra Kumar"	"Syed Abu Dojana"	"Ajay Kumar"	"Chandrika Prasad"	"Narendra Mishra"	"Mahesh Nandan Singh"	"Mohammad Faiyaz Ahmad"	"Vinod Sah"	"Sone Lal Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"29"	"25"	"471"	"10"	"6"	"3"	"1"	"4"	"98"	"4"	"1"	"1"	"9"	"37"	"8"	"28"	"3"	"4"	"16"	"758"	"0"	"4"	"762"	"0"
"14"	"2"	"80"	"7"	"170"	"6"	"1"	"1"	"3"	"9"	"133"	"1"	"3"	"2"	"0"	"9"	"7"	"18"	"4"	"1"	"6"	"461"	"0"	"3"	"464"	"0"
"15"	"3"	"36"	"2"	"474"	"6"	"5"	"3"	"3"	"8"	"129"	"4"	"1"	"3"	"4"	"5"	"3"	"12"	"6"	"3"	"6"	"713"	"0"	"2"	"715"	"0"
"16"	"4"	"140"	"2"	"30"	"1"	"3"	"0"	"6"	"5"	"209"	"2"	"4"	"1"	"3"	"1"	"1"	"5"	"16"	"6"	"6"	"441"	"0"	"6"	"447"	"0"
"17"	"5"	"15"	"4"	"452"	"23"	"7"	"2"	"1"	"3"	"170"	"3"	"4"	"3"	"17"	"32"	"11"	"19"	"8"	"4"	"14"	"792"	"0"	"5"	"797"	"0"
"18"	"6"	"36"	"1"	"5"	"1"	"1"	"1"	"3"	"3"	"386"	"4"	"1"	"1"	"1"	"0"	"0"	"5"	"3"	"0"	"0"	"452"	"0"	"1"	"453"	"0"
