"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 16-Vaishali PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  265728"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sahebganj(98)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Raghuvans h Prasad Singh"	"Rama Kishore Singh"	"Vijay Kumar Sahni"	"Shankar Mahto"	"Indradeo Roy"	"Jaynaraya n Sah"	"Md.
Naushad"	"Parmeshw ar Ram"	"Mukesh Ram"	"Raaj Mangal Prasad"	"Vinod Pandit"	"Md. Hasib"	"Anu Shukla"	"Jitendra Prasad"	"Balendra Singh"	"Dr.
Mohamma d Nabi Hassan"	"Mohamma d Umar Ansari"	"Ranjeet Kumar Jha"	"Ram Pukar Rai"	"Rameshwa r Sah"	"Lalji Kumar Rakesh"	"Sandhya Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"13"	"1"	"67"	"349"	"65"	"5"	"4"	"2"	"1"	"3"	"6"	"3"	"4"	"11"	"76"	"9"	"10"	"16"	"0"	"9"	"2"	"0"	"2"	"3"	"647"	"0"	"3"	"650"	"0"
"14"	"2"	"40"	"365"	"22"	"1"	"1"	"2"	"2"	"0"	"7"	"5"	"3"	"12"	"42"	"5"	"28"	"12"	"2"	"35"	"9"	"7"	"3"	"4"	"607"	"0"	"5"	"612"	"0"
"15"	"3"	"239"	"358"	"37"	"13"	"2"	"2"	"5"	"2"	"9"	"2"	"4"	"3"	"59"	"5"	"9"	"14"	"5"	"8"	"3"	"3"	"1"	"2"	"785"	"0"	"0"	"785"	"0"
"16"	"4"	"246"	"167"	"31"	"3"	"1"	"1"	"4"	"1"	"2"	"2"	"2"	"2"	"13"	"4"	"7"	"13"	"9"	"6"	"3"	"2"	"1"	"2"	"522"	"0"	"10"	"532"	"0"
