"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 36-Jehanabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Ghosi(217)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Anil Kumar Sharma"	"Ravindra Singh"	"Surendra Prasad Yadav"	"Dr. Arun Kumar"	"Md. Istiyak"	"Chandra Bhushan Sharma"	"Narendra Kumar"	"Parshuram Vind"	"Manju Devi"	"Ramadhar Singh"	"Rahul Ranjan"	"Arjun Thakur"	"Nityanand Singh"	"Manjay Kumar"	"Suday Yadav"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"366"	"1"	"199"	"29"	"2"	"1"	"6"	"5"	"8"	"43"	"5"	"12"	"3"	"2"	"5"	"687"	"0"	"16"	"703"	"0"
"14"	"2"	"24"	"1"	"295"	"9"	"5"	"2"	"1"	"2"	"2"	"59"	"2"	"2"	"4"	"7"	"0"	"415"	"0"	"2"	"417"	"0"
"15"	"3"	"38"	"5"	"368"	"270"	"7"	"7"	"0"	"2"	"2"	"18"	"3"	"7"	"13"	"15"	"4"	"759"	"0"	"9"	"768"	"0"
"16"	"4"	"32"	"6"	"202"	"17"	"4"	"4"	"5"	"2"	"5"	"144"	"0"	"3"	"7"	"6"	"0"	"437"	"0"	"3"	"440"	"0"
"17"	"5"	"17"	"5"	"239"	"73"	"4"	"5"	"6"	"8"	"1"	"104"	"8"	"8"	"14"	"9"	"3"	"504"	"0"	"13"	"517"	"0"
"18"	"6"	"52"	"3"	"49"	"229"	"5"	"6"	"3"	"3"	"4"	"278"	"3"	"6"	"2"	"5"	"3"	"651"	"0"	"3"	"654"	"0"
"19"	"7"	"33"	"0"	"10"	"277"	"4"	"1"	"0"	"1"	"5"	"81"	"4"	"8"	"3"	"2"	"1"	"430"	"0"	"6"	"436"	"0"
"20"	"7A"	"45"	"1"	"40"	"71"	"8"	"4"	"12"	"5"	"4"	"203"	"4"	"9"	"5"	"2"	"3"	"416"	"0"	"9"	"425"	"0"
"21"	"8"	"76"	"4"	"443"	"29"	"5"	"0"	"0"	"0"	"1"	"8"	"1"	"0"	"2"	"4"	"1"	"574"	"0"	"7"	"581"	"0"
