"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 22-Ujiarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  225141"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Mohiuddinnagar(137)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashwamedh Devi"	"Alok Kumar Mehta"	"Dharmendra Sahani"	"Nityanand Rai"	"Ram Deo Verma"	"Amrendra Kumar Yadav"	"Kishor Kumar"	"Jitendra Kumar Rai"	"Md. Tahir Araman"	"Prithivinath Prasad"	"Prem Lata Devi"	"Phool Babu Singh"	"Madhuri"	"Mithilesh Kumar Jha"	"Vindeshwari Sahni"	"Shivani Umani"	"Suresh chaudhari"	"Arjun Kumar Sah"	"Mintu Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"49"	"160"	"22"	"329"	"11"	"9"	"5"	"21"	"6"	"2"	"3"	"1"	"2"	"4"	"9"	"3"	"6"	"1"	"3"	"646"	"0"	"0"	"646"	"0"
"14"	"2"	"17"	"272"	"9"	"54"	"9"	"0"	"1"	"3"	"3"	"0"	"2"	"0"	"2"	"3"	"8"	"2"	"2"	"1"	"1"	"389"	"0"	"1"	"390"	"0"
"15"	"3"	"23"	"284"	"14"	"226"	"17"	"2"	"2"	"11"	"0"	"1"	"2"	"1"	"7"	"4"	"7"	"13"	"2"	"1"	"0"	"617"	"0"	"5"	"622"	"0"
"16"	"4"	"125"	"435"	"6"	"136"	"12"	"2"	"2"	"5"	"3"	"1"	"1"	"3"	"6"	"4"	"3"	"9"	"2"	"2"	"0"	"757"	"0"	"0"	"757"	"0"
"17"	"5"	"113"	"194"	"6"	"194"	"22"	"7"	"7"	"7"	"0"	"3"	"6"	"5"	"5"	"5"	"8"	"10"	"8"	"5"	"0"	"605"	"0"	"3"	"608"	"0"
"18"	"6"	"130"	"370"	"18"	"153"	"17"	"7"	"7"	"15"	"1"	"0"	"3"	"2"	"3"	"10"	"6"	"15"	"21"	"15"	"10"	"803"	"0"	"12"	"815"	"0"
