"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30-Patna Sahib PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  328394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Patna Sahib(184)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kunal Singh"	"Ganesh Saw"	"Dr. Gopal Prasad Sinha"	"Shatrughana Sinha"	"Umesh Kumar"	"Gajendra Kumar"	"Chandra Bhushan Prasad Chandravan shi"	"Jauhar Azad"	"Parveen Amanullah"	"Parwez Ahmad"	"Dr. Rakesh Dutta Mishra"	"Lal Bahadur Singh Patel"	"Shreekant Labh"	"Anil Kumar"	"Kumar Rajiv"	"Ganga Vishnu Prasad"	"Nand Kishore Singh"	"Vijay Kumar Sahni"	"Shyam Nandan Prasad"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"114"	"1"	"8"	"209"	"2"	"0"	"0"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"345"	"0"	"1"	"346"	"0"
"14"	"2"	"376"	"3"	"22"	"286"	"4"	"0"	"0"	"0"	"13"	"1"	"0"	"1"	"2"	"0"	"2"	"4"	"1"	"0"	"0"	"715"	"0"	"2"	"717"	"0"
"15"	"3"	"222"	"0"	"6"	"4"	"0"	"2"	"0"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"9"	"0"	"1"	"258"	"0"	"3"	"261"	"0"
"16"	"4"	"400"	"3"	"16"	"197"	"3"	"3"	"1"	"0"	"7"	"1"	"3"	"0"	"0"	"1"	"1"	"7"	"6"	"0"	"0"	"649"	"0"	"1"	"650"	"0"
"17"	"5"	"84"	"1"	"15"	"390"	"4"	"0"	"1"	"0"	"8"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"4"	"1"	"523"	"0"	"2"	"525"	"0"
