"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 6-Madhubani PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  276367"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Jale(87)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Abdul Bari Siddiqui"	"Prof. Ghulam Ghous"	"Hari Narayan Yadav"	"Hukm Deo Narayan Yadav"	"Anirud Sahu"	"Kumari Rita"	"Dhrub Narayan Karn"	"Neeraj Pathak"	"Faiz Ahmad"	"Ratneshwar Jha"	"Vijay Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"12"	"35"	"4"	"340"	"3"	"25"	"4"	"9"	"6"	"3"	"3"	"444"	"0"	"7"	"451"	"0"
"14"	"2"	"78"	"217"	"11"	"137"	"7"	"53"	"4"	"12"	"6"	"7"	"17"	"549"	"0"	"15"	"564"	"0"
"15"	"3"	"243"	"43"	"7"	"441"	"8"	"25"	"3"	"8"	"11"	"10"	"5"	"804"	"0"	"15"	"819"	"0"
"16"	"4"	"82"	"21"	"5"	"408"	"6"	"15"	"0"	"5"	"5"	"5"	"8"	"560"	"0"	"18"	"578"	"0"
"17"	"5"	"280"	"16"	"8"	"357"	"4"	"6"	"6"	"5"	"8"	"9"	"5"	"704"	"0"	"7"	"711"	"0"
"18"	"6"	"121"	"9"	"9"	"224"	"4"	"12"	"2"	"2"	"4"	"3"	"4"	"394"	"0"	"7"	"401"	"0"
"19"	"7"	"101"	"383"	"12"	"216"	"4"	"50"	"7"	"10"	"3"	"4"	"3"	"793"	"0"	"6"	"799"	"0"
"20"	"8"	"369"	"23"	"8"	"128"	"1"	"5"	"6"	"4"	"3"	"4"	"1"	"552"	"0"	"17"	"569"	"0"
"21"	"9"	"343"	"25"	"3"	"88"	"7"	"9"	"7"	"7"	"9"	"4"	"10"	"512"	"0"	"23"	"535"	"0"
"22"	"10"	"181"	"28"	"18"	"470"	"12"	"22"	"6"	"10"	"8"	"6"	"2"	"763"	"0"	"5"	"768"	"0"
"23"	"11"	"165"	"13"	"4"	"277"	"5"	"3"	"1"	"1"	"3"	"1"	"4"	"477"	"0"	"6"	"483"	"0"
"24"	"12"	"200"	"60"	"5"	"259"	"10"	"58"	"5"	"16"	"6"	"7"	"10"	"636"	"0"	"23"	"659"	"0"
"25"	"13"	"284"	"87"	"4"	"213"	"6"	"54"	"13"	"16"	"10"	"12"	"11"	"710"	"0"	"35"	"745"	"0"
