"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 39-Nawada PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  194322"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Barbigha(170)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Kaushal Yadav"	"Giriraj Singh"	"Raj Ballabh Prasad"	"Sohail Anwer"	"Ashok Kumar"	"Umakant Rahi"	"Pramendra Kumar Yadav"	"Mohammad Jahid Husain"	"Rajendra Singh"	"Vijay Ram"	"Surendra Rajbanshi"	"Azad Geeta Prasad Sharma"	"Aditya Narayan"	"Manish Kumar"	"Satish Kumar"	"Safdar Ismail"	"Shulochana Devi"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"15"	"448"	"47"	"5"	"1"	"2"	"0"	"5"	"4"	"0"	"5"	"10"	"3"	"6"	"13"	"11"	"0"	"575"	"0"	"11"	"586"	"0"
"14"	"2"	"95"	"440"	"228"	"9"	"1"	"1"	"2"	"3"	"5"	"2"	"1"	"3"	"1"	"5"	"6"	"0"	"3"	"805"	"0"	"6"	"811"	"0"
"15"	"3"	"40"	"317"	"63"	"2"	"1"	"1"	"0"	"1"	"8"	"2"	"6"	"5"	"1"	"1"	"1"	"6"	"19"	"474"	"0"	"16"	"490"	"0"
"16"	"4"	"59"	"327"	"91"	"8"	"2"	"3"	"2"	"7"	"10"	"5"	"5"	"12"	"8"	"7"	"25"	"12"	"0"	"583"	"0"	"5"	"588"	"0"
"17"	"5"	"4"	"735"	"7"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"753"	"0"	"1"	"754"	"0"
"18"	"6"	"7"	"596"	"2"	"2"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"0"	"3"	"4"	"1"	"0"	"620"	"0"	"0"	"620"	"0"
"19"	"7"	"168"	"302"	"50"	"4"	"3"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"0"	"3"	"2"	"539"	"0"	"2"	"541"	"0"
