"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 6-Madhubani PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  288180"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Bisfi(35)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Abdul Bari Siddiqui"	"Prof. Ghulam Ghous"	"Hari Narayan Yadav"	"Hukm Deo Narayan Yadav"	"Anirud Sahu"	"Kumari Rita"	"Dhrub Narayan Karn"	"Neeraj Pathak"	"Faiz Ahmad"	"Ratneshwar Jha"	"Vijay Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"198"	"41"	"13"	"310"	"14"	"41"	"3"	"4"	"5"	"6"	"12"	"647"	"0"	"11"	"658"	"0"
"14"	"2"	"84"	"23"	"10"	"253"	"10"	"20"	"2"	"8"	"11"	"6"	"16"	"443"	"0"	"27"	"470"	"0"
"15"	"3"	"93"	"32"	"8"	"315"	"120"	"15"	"5"	"14"	"7"	"13"	"8"	"630"	"0"	"33"	"663"	"0"
"16"	"4"	"382"	"31"	"8"	"213"	"3"	"17"	"7"	"20"	"9"	"4"	"8"	"702"	"0"	"9"	"711"	"0"
"17"	"5"	"316"	"15"	"3"	"78"	"4"	"5"	"2"	"16"	"2"	"1"	"2"	"444"	"0"	"1"	"445"	"0"
"18"	"6"	"35"	"10"	"4"	"349"	"20"	"11"	"6"	"6"	"19"	"11"	"11"	"482"	"0"	"23"	"505"	"0"
"19"	"7"	"232"	"47"	"3"	"207"	"7"	"13"	"2"	"4"	"5"	"6"	"6"	"532"	"0"	"24"	"556"	"0"
"20"	"8"	"354"	"49"	"2"	"42"	"5"	"24"	"3"	"4"	"1"	"1"	"2"	"487"	"0"	"6"	"493"	"0"
"21"	"9"	"311"	"17"	"7"	"484"	"14"	"12"	"5"	"18"	"16"	"7"	"8"	"899"	"0"	"17"	"916"	"0"
"22"	"10"	"64"	"20"	"11"	"464"	"11"	"11"	"1"	"2"	"5"	"0"	"4"	"593"	"0"	"4"	"597"	"0"
"23"	"11"	"159"	"35"	"18"	"198"	"13"	"40"	"8"	"5"	"21"	"13"	"14"	"524"	"0"	"10"	"534"	"0"
"24"	"11A"	"122"	"26"	"8"	"186"	"8"	"15"	"4"	"7"	"2"	"3"	"2"	"383"	"0"	"2"	"385"	"0"
"25"	"12"	"416"	"32"	"10"	"218"	"3"	"18"	"6"	"9"	"12"	"4"	"8"	"736"	"0"	"24"	"760"	"0"
