"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 15-Muzaffarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  263073"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Aurai(89)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendere d votes"
"11"	""	"Akhilesh Pd. Singh"	"Ajay Nishad"	"Rajeev Ranjan"	"Vijendra Choudh ary"	"Akshay Verma"	"Ashok Kumar Jha"	"Ashok Kumar Singh"	"Kunal Priyadar shi"	"Devendr a Rakesh"	"Naval Kishore Jha"	"Nilu Singh"	"Pankaj Kumar Srivasta va"	"Prabhat Suman"	"Madhur Sheel"	"Mahesh Rai"	"Raghve ndra Pratap Singh"	"Rajesh Kumar"	"Shatrud han Sahani"	"Ajitansh Gaur"	"Kamlesh Choudh ary"	"Deepak Kumar"	"Nagesh war Prasad Singh"	"Mahesh Paswan"	"Moham mad Anwarul Haque"	"Mohmm ad Taiyab"	"Ravi Shankar Paswan"	"Rupesh Kumar Kuar"	"Shravan Kumar Jha"	"Suresh Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"
"13"	"1"	"49"	"455"	"8"	"40"	"6"	"16"	"1"	"3"	"0"	"1"	"3"	"1"	"12"	"3"	"5"	"13"	"3"	"8"	"4"	"5"	"2"	"11"	"5"	"2"	"1"	"0"	"0"	"4"	"4"	"665"	"0"	"13"	"678"	"0"
"14"	"2"	"46"	"379"	"8"	"138"	"6"	"50"	"2"	"1"	"0"	"2"	"1"	"3"	"3"	"5"	"6"	"7"	"2"	"2"	"2"	"4"	"1"	"9"	"0"	"2"	"2"	"8"	"2"	"9"	"10"	"710"	"0"	"9"	"719"	"0"
"15"	"3"	"99"	"188"	"12"	"87"	"3"	"55"	"5"	"4"	"5"	"6"	"3"	"2"	"14"	"7"	"12"	"16"	"3"	"2"	"0"	"8"	"2"	"5"	"2"	"1"	"2"	"2"	"5"	"2"	"4"	"556"	"0"	"14"	"570"	"0"
"16"	"4"	"101"	"269"	"12"	"204"	"11"	"39"	"6"	"7"	"10"	"6"	"10"	"13"	"32"	"11"	"6"	"22"	"5"	"9"	"3"	"11"	"8"	"12"	"3"	"10"	"3"	"9"	"5"	"4"	"10"	"851"	"0"	"16"	"867"	"0"
"17"	"5"	"191"	"464"	"20"	"84"	"7"	"39"	"6"	"6"	"6"	"8"	"7"	"10"	"17"	"18"	"9"	"29"	"1"	"3"	"1"	"5"	"2"	"5"	"2"	"1"	"5"	"2"	"0"	"0"	"3"	"951"	"0"	"2"	"953"	"0"
"18"	"6"	"195"	"207"	"8"	"86"	"5"	"19"	"2"	"1"	"2"	"1"	"3"	"0"	"6"	"1"	"7"	"4"	"14"	"6"	"9"	"12"	"3"	"10"	"1"	"7"	"5"	"5"	"8"	"5"	"13"	"645"	"0"	"18"	"663"	"0"
"19"	"7"	"345"	"340"	"11"	"22"	"4"	"7"	"3"	"3"	"3"	"4"	"1"	"6"	"7"	"8"	"4"	"23"	"6"	"6"	"2"	"4"	"1"	"3"	"1"	"2"	"4"	"1"	"2"	"1"	"5"	"829"	"0"	"8"	"837"	"0"
"20"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"21"	"9"	"222"	"298"	"6"	"6"	"0"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"1"	"2"	"3"	"0"	"4"	"2"	"0"	"8"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"563"	"0"	"2"	"565"	"0"
"22"	"10"	"116"	"373"	"4"	"29"	"8"	"7"	"2"	"3"	"0"	"0"	"0"	"0"	"8"	"1"	"2"	"11"	"1"	"3"	"2"	"3"	"2"	"14"	"1"	"2"	"4"	"1"	"4"	"4"	"4"	"609"	"0"	"16"	"625"	"0"
