"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 37-Aurangabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  284766"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Rafiganj(224)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Nikhil Kumar"	"Bagi Kumar Verma"	"Santosh Kumar"	"Sushil Kumar Singh"	"Upendra Nath"	"Usha Sharan"	"Ragini Lata Singh"	"Rita Devi"	"Durga Thakur"	"Rakesh Sharma"	"Ramji Singh"	"Bijeet Kumar"	"Somaru Paswan"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"75"	"171"	"4"	"270"	"6"	"1"	"2"	"1"	"2"	"1"	"2"	"4"	"3"	"542"	"0"	"13"	"555"	"0"
"14"	"2"	"235"	"214"	"40"	"114"	"4"	"2"	"3"	"1"	"2"	"1"	"1"	"2"	"4"	"623"	"0"	"15"	"638"	"0"
"15"	"3"	"118"	"21"	"1"	"76"	"2"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"224"	"0"	"4"	"228"	"0"
"16"	"4"	"282"	"121"	"78"	"233"	"13"	"8"	"10"	"1"	"7"	"3"	"7"	"3"	"2"	"768"	"0"	"16"	"784"	"0"
"17"	"5"	"296"	"29"	"7"	"317"	"8"	"3"	"2"	"1"	"3"	"1"	"10"	"9"	"9"	"695"	"0"	"25"	"720"	"0"
"18"	"6"	"194"	"58"	"13"	"50"	"28"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"348"	"0"	"3"	"351"	"0"
"19"	"7"	"33"	"389"	"27"	"162"	"10"	"6"	"2"	"2"	"4"	"3"	"3"	"7"	"18"	"666"	"0"	"35"	"701"	"0"
"20"	"8"	"165"	"190"	"8"	"26"	"0"	"1"	"2"	"0"	"4"	"1"	"2"	"1"	"3"	"403"	"0"	"10"	"413"	"0"
"21"	"9"	"72"	"17"	"3"	"256"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"350"	"0"	"0"	"350"	"0"
"22"	"10"	"56"	"250"	"43"	"186"	"8"	"3"	"4"	"0"	"2"	"4"	"14"	"12"	"19"	"601"	"0"	"31"	"632"	"0"
"23"	"11"	"132"	"395"	"24"	"147"	"5"	"12"	"6"	"3"	"0"	"3"	"2"	"2"	"5"	"736"	"0"	"11"	"747"	"0"
