"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 4-Sheohar PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  218990"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Belsand(30)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Angesh Kumar"	"Md. Anwarul Haque"	"Rama Devi"	"Shahid Ali Khan"	"Jagranath Sahani"	"Jata Shankar Aatrey"	"Md. Nasruddin Ansari"	"Ramashankar Singh"	"Ram Lobhit Paswan"	"Laxman Paswan"	"Lovely Anand"	"Shatrughna Sahu"	"Ramashish Mahato"	"Shivanandan Prasad"	"Sanjay Prasad"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"13"	"40"	"374"	"29"	"3"	"1"	"2"	"4"	"2"	"13"	"3"	"5"	"6"	"22"	"9"	"526"	"0"	"15"	"541"	"0"
"14"	"1A"	"44"	"52"	"173"	"15"	"3"	"1"	"1"	"5"	"1"	"7"	"5"	"1"	"2"	"8"	"4"	"322"	"0"	"10"	"332"	"0"
"15"	"2"	"86"	"209"	"111"	"13"	"1"	"0"	"2"	"3"	"1"	"0"	"3"	"1"	"0"	"2"	"1"	"433"	"0"	"4"	"437"	"0"
"16"	"3"	"26"	"207"	"354"	"21"	"3"	"5"	"4"	"3"	"2"	"7"	"6"	"9"	"9"	"19"	"9"	"684"	"0"	"10"	"694"	"0"
"17"	"4"	"3"	"52"	"474"	"39"	"5"	"2"	"3"	"2"	"0"	"9"	"3"	"10"	"7"	"19"	"11"	"639"	"0"	"11"	"650"	"0"
"18"	"5"	"3"	"107"	"514"	"13"	"3"	"2"	"0"	"2"	"3"	"5"	"3"	"8"	"3"	"20"	"8"	"694"	"0"	"6"	"700"	"0"
"19"	"6"	"8"	"433"	"94"	"6"	"3"	"2"	"1"	"1"	"1"	"1"	"6"	"0"	"0"	"3"	"5"	"564"	"0"	"0"	"564"	"0"
"20"	"7"	"24"	"315"	"193"	"18"	"1"	"2"	"1"	"0"	"1"	"2"	"0"	"2"	"1"	"3"	"9"	"572"	"0"	"4"	"576"	"0"
"21"	"8"	"54"	"38"	"333"	"14"	"0"	"2"	"1"	"1"	"2"	"8"	"47"	"6"	"3"	"16"	"7"	"532"	"0"	"3"	"535"	"0"
