"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 15-Muzaffarpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  255880"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Kurhani(93)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendere d votes"
"11"	""	"Akhilesh Pd. Singh"	"Ajay Nishad"	"Rajeev Ranjan"	"Vijendra Choudh ary"	"Akshay Verma"	"Ashok Kumar Jha"	"Ashok Kumar Singh"	"Kunal Priyadar shi"	"Devendr a Rakesh"	"Naval Kishore Jha"	"Nilu Singh"	"Pankaj Kumar Srivasta va"	"Prabhat Suman"	"Madhur Sheel"	"Mahesh Rai"	"Raghve ndra Pratap Singh"	"Rajesh Kumar"	"Shatrud han Sahani"	"Ajitansh Gaur"	"Kamlesh Choudh ary"	"Deepak Kumar"	"Nagesh war Prasad Singh"	"Mahesh Paswan"	"Moham mad Anwarul Haque"	"Mohmm ad Taiyab"	"Ravi Shankar Paswan"	"Rupesh Kumar Kuar"	"Shravan Kumar Jha"	"Suresh Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"
"13"	"1"	"267"	"468"	"6"	"49"	"3"	"14"	"4"	"0"	"3"	"2"	"2"	"3"	"3"	"4"	"1"	"9"	"6"	"1"	"1"	"1"	"0"	"5"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"854"	"0"	"0"	"854"	"0"
"14"	"2"	"125"	"388"	"1"	"7"	"0"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"1"	"0"	"1"	"3"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"541"	"0"	"5"	"546"	"0"
"15"	"3"	"107"	"321"	"1"	"87"	"4"	"20"	"2"	"0"	"0"	"7"	"2"	"0"	"1"	"1"	"1"	"0"	"3"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"565"	"0"	"3"	"568"	"0"
"16"	"4"	"116"	"327"	"5"	"20"	"0"	"3"	"1"	"1"	"0"	"1"	"0"	"3"	"1"	"2"	"9"	"0"	"1"	"1"	"1"	"0"	"0"	"6"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"501"	"0"	"1"	"502"	"0"
"17"	"5"	"126"	"372"	"9"	"58"	"6"	"22"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"4"	"4"	"7"	"2"	"1"	"5"	"0"	"9"	"2"	"1"	"0"	"7"	"0"	"0"	"0"	"644"	"0"	"2"	"646"	"0"
"18"	"6"	"104"	"554"	"7"	"95"	"3"	"18"	"4"	"1"	"3"	"2"	"1"	"1"	"3"	"0"	"2"	"5"	"2"	"2"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"816"	"0"	"1"	"817"	"0"
"19"	"7"	"247"	"271"	"9"	"33"	"4"	"14"	"3"	"3"	"1"	"1"	"3"	"5"	"2"	"6"	"13"	"13"	"3"	"2"	"4"	"3"	"1"	"8"	"1"	"1"	"3"	"3"	"2"	"2"	"10"	"671"	"0"	"5"	"676"	"0"
"20"	"8"	"64"	"473"	"7"	"19"	"2"	"6"	"2"	"1"	"3"	"3"	"0"	"2"	"3"	"6"	"11"	"7"	"5"	"26"	"3"	"3"	"1"	"6"	"0"	"4"	"6"	"2"	"0"	"7"	"12"	"684"	"0"	"21"	"705"	"0"
"21"	"9"	"254"	"155"	"0"	"27"	"1"	"6"	"2"	"1"	"0"	"1"	"2"	"1"	"12"	"6"	"11"	"14"	"2"	"3"	"0"	"1"	"0"	"4"	"1"	"0"	"3"	"0"	"0"	"3"	"7"	"517"	"0"	"10"	"527"	"0"
"22"	"10"	"124"	"578"	"13"	"46"	"4"	"10"	"4"	"2"	"4"	"3"	"3"	"3"	"6"	"7"	"10"	"16"	"11"	"8"	"12"	"3"	"3"	"31"	"3"	"8"	"7"	"4"	"5"	"10"	"8"	"946"	"0"	"22"	"968"	"0"
