"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27-Banka PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  258502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Dhauraiya(160)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Jai Prakash Narayan Yadav"	"Putul Kumari"	"Sanjay Kumar
- I"	"Sanjay Kumar
- II"	"Umakant Yadav"	"Deepak Kumar"	"Niraj Kumar"	"Mahboob Alam Ansari"	"Mithlesh Kumar Singh"	"Mukesh Kumar Sinha"	"Vijay Bharti"	"Subodh Narayan Jha"	"Akhil Bhartiya Sharma"	"Alimuddin Ansari"	"Indraraj Singh Saini"	"Naresh Kumar Priyadarshi"	"Sargun Sah"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"
"13"	"1"	"124"	"268"	"185"	"4"	"0"	"0"	"4"	"3"	"5"	"2"	"2"	"2"	"4"	"10"	"9"	"6"	"10"	"638"	"0"	"10"	"648"	"0"
"14"	"2"	"56"	"326"	"92"	"5"	"3"	"1"	"1"	"2"	"1"	"1"	"3"	"5"	"6"	"5"	"9"	"11"	"1"	"528"	"0"	"6"	"534"	"0"
"15"	"3"	"99"	"149"	"188"	"5"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"1"	"1"	"453"	"0"	"2"	"455"	"0"
"16"	"4"	"59"	"158"	"98"	"4"	"0"	"1"	"3"	"1"	"1"	"1"	"0"	"1"	"4"	"7"	"2"	"6"	"3"	"349"	"0"	"3"	"352"	"0"
"17"	"5"	"143"	"248"	"155"	"13"	"3"	"2"	"9"	"3"	"3"	"3"	"3"	"4"	"3"	"5"	"5"	"7"	"23"	"632"	"0"	"13"	"645"	"0"
"18"	"6"	"190"	"32"	"41"	"1"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"3"	"1"	"5"	"6"	"285"	"0"	"1"	"286"	"0"
"19"	"7"	"139"	"157"	"91"	"7"	"2"	"4"	"1"	"1"	"2"	"1"	"2"	"3"	"2"	"7"	"6"	"6"	"7"	"438"	"0"	"12"	"450"	"0"
