"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 6-Madhubani PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  302857"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Madhubani(36)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Abdul Bari Siddiqui"	"Prof. Ghulam Ghous"	"Hari Narayan Yadav"	"Hukm Deo Narayan Yadav"	"Anirud Sahu"	"Kumari Rita"	"Dhrub Narayan Karn"	"Neeraj Pathak"	"Faiz Ahmad"	"Ratneshwar Jha"	"Vijay Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"55"	"9"	"5"	"358"	"8"	"8"	"1"	"9"	"5"	"5"	"4"	"467"	"0"	"8"	"475"	"0"
"14"	"2"	"139"	"11"	"4"	"314"	"3"	"6"	"0"	"14"	"4"	"3"	"0"	"498"	"0"	"3"	"501"	"0"
"15"	"3"	"286"	"6"	"6"	"494"	"17"	"7"	"5"	"25"	"9"	"9"	"8"	"872"	"0"	"15"	"887"	"0"
"16"	"4"	"732"	"83"	"5"	"1"	"0"	"8"	"1"	"5"	"1"	"0"	"2"	"838"	"0"	"15"	"853"	"0"
"17"	"5"	"203"	"22"	"12"	"285"	"10"	"18"	"4"	"7"	"6"	"4"	"2"	"573"	"0"	"8"	"581"	"0"
"18"	"6"	"537"	"14"	"5"	"36"	"0"	"3"	"1"	"0"	"3"	"2"	"5"	"606"	"0"	"11"	"617"	"0"
"19"	"7"	"481"	"11"	"5"	"135"	"3"	"3"	"4"	"1"	"9"	"1"	"4"	"657"	"0"	"15"	"672"	"0"
"20"	"8"	"262"	"23"	"4"	"334"	"6"	"16"	"130"	"12"	"6"	"8"	"6"	"807"	"0"	"19"	"826"	"0"
"21"	"9"	"109"	"19"	"2"	"228"	"6"	"23"	"2"	"7"	"3"	"3"	"4"	"406"	"0"	"10"	"416"	"0"
"22"	"10"	"173"	"32"	"9"	"545"	"9"	"12"	"13"	"4"	"11"	"9"	"17"	"834"	"0"	"23"	"857"	"0"
"23"	"11"	"312"	"20"	"0"	"358"	"2"	"9"	"16"	"9"	"2"	"2"	"6"	"736"	"0"	"10"	"746"	"0"
"24"	"12"	"59"	"3"	"2"	"258"	"1"	"2"	"1"	"18"	"0"	"0"	"2"	"346"	"0"	"5"	"351"	"0"
"25"	"13"	"224"	"25"	"0"	"413"	"4"	"16"	"4"	"4"	"5"	"4"	"2"	"701"	"0"	"3"	"704"	"0"
