"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 18-Siwan PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  273542"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Daraundha(109)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Om Prakash Yadav"	"Ganesh Ram"	"Manoj Kumar Singh"	"Hena Shahab"	"Amar Nath Yadav"	"Khalil Miya"	"Nagendra Tiwari"	"Narad Pndit"	"Paramanand Gond"	"Parmeshwar Manjhi"	"Ranjan Kumar"	"Ram Binay Ray"	"Satya Prakash Pandey"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"241"	"7"	"38"	"51"	"9"	"3"	"2"	"0"	"1"	"0"	"4"	"6"	"5"	"367"	"0"	"6"	"373"	"0"
"14"	"2"	"222"	"21"	"88"	"176"	"17"	"5"	"5"	"1"	"0"	"3"	"9"	"6"	"6"	"559"	"0"	"15"	"574"	"0"
"15"	"3"	"419"	"20"	"135"	"42"	"10"	"5"	"1"	"1"	"1"	"3"	"13"	"21"	"22"	"693"	"0"	"47"	"740"	"0"
"16"	"4"	"452"	"7"	"146"	"144"	"4"	"0"	"2"	"3"	"2"	"3"	"9"	"11"	"19"	"802"	"0"	"26"	"828"	"0"
"17"	"5"	"117"	"110"	"9"	"151"	"8"	"2"	"0"	"1"	"0"	"1"	"7"	"3"	"4"	"413"	"0"	"10"	"423"	"0"
"18"	"6"	"302"	"14"	"56"	"94"	"67"	"12"	"3"	"3"	"8"	"15"	"5"	"17"	"15"	"611"	"0"	"22"	"633"	"0"
"19"	"7"	"274"	"6"	"42"	"69"	"3"	"3"	"0"	"1"	"4"	"0"	"4"	"9"	"5"	"420"	"0"	"15"	"435"	"0"
"20"	"8"	"211"	"4"	"22"	"64"	"7"	"1"	"3"	"5"	"6"	"3"	"5"	"13"	"8"	"352"	"0"	"20"	"372"	"0"
"21"	"9"	"231"	"7"	"15"	"36"	"213"	"18"	"5"	"8"	"10"	"3"	"6"	"9"	"8"	"569"	"0"	"27"	"596"	"0"
"22"	"9A"	"126"	"28"	"7"	"24"	"151"	"18"	"1"	"1"	"4"	"4"	"1"	"3"	"2"	"370"	"0"	"5"	"375"	"0"
"23"	"10"	"378"	"5"	"9"	"91"	"11"	"5"	"0"	"4"	"3"	"2"	"5"	"8"	"9"	"530"	"0"	"21"	"551"	"0"
