"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 29-Nalanda PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Hilsa(175)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Ashish Ranjan Sinha"	"Kaushlendr a Kumar"	"Sanjay Kumar"	"Satyanand Sharma"	"Dhirendra Kumar"	"Nayeb Ali"	"Niraj Sharma"	"Pranav Prakash"	"Pramod Kumar Nirala"	"Bhola Sao"	"Mahesh Paswan"	"Yogendra Prasad"	"Rakesh Ranjan Sinha"	"Lallu Ram"	"Shashi Yadav"	"Shailesh Kumar"	"Awadh Kumar"	"Kaushal Kumar Kaushlendr a Sinha Alias Bharat Manas"	"Naresh Prasad Singh"	"Munna Prasad"	"Lata Sinha"	"Vishwajit Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"
"13"	"1"	"29"	"71"	"5"	"203"	"10"	"3"	"1"	"4"	"4"	"2"	"6"	"7"	"15"	"6"	"9"	"19"	"9"	"4"	"3"	"18"	"5"	"2"	"435"	"0"	"9"	"444"	"0"
"14"	"2"	"97"	"133"	"5"	"18"	"2"	"0"	"0"	"3"	"1"	"0"	"1"	"1"	"0"	"4"	"6"	"3"	"1"	"0"	"0"	"1"	"2"	"1"	"279"	"0"	"1"	"280"	"0"
"15"	"3"	"113"	"99"	"11"	"108"	"8"	"3"	"3"	"3"	"2"	"5"	"0"	"3"	"5"	"5"	"11"	"14"	"15"	"7"	"2"	"1"	"4"	"1"	"423"	"0"	"3"	"426"	"0"
"16"	"4"	"37"	"223"	"6"	"149"	"10"	"7"	"5"	"41"	"7"	"6"	"9"	"5"	"10"	"23"	"266"	"31"	"6"	"2"	"1"	"2"	"2"	"1"	"849"	"0"	"9"	"858"	"0"
