"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 36-Jehanabad PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Arwal(214)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Anil Kumar Sharma"	"Ravindra Singh"	"Surendra Prasad Yadav"	"Dr. Arun Kumar"	"Md. Istiyak"	"Chandra Bhushan Sharma"	"Narendra Kumar"	"Parshuram Vind"	"Manju Devi"	"Ramadhar Singh"	"Rahul Ranjan"	"Arjun Thakur"	"Nityanand Singh"	"Manjay Kumar"	"Suday Yadav"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"13"	"1"	"20"	"16"	"11"	"274"	"4"	"2"	"3"	"3"	"2"	"127"	"3"	"5"	"3"	"0"	"3"	"476"	"0"	"7"	"483"	"0"
"14"	"2"	"13"	"1"	"131"	"283"	"5"	"0"	"4"	"2"	"4"	"135"	"5"	"10"	"11"	"9"	"1"	"614"	"0"	"9"	"623"	"0"
"15"	"3"	"19"	"0"	"47"	"159"	"6"	"6"	"0"	"2"	"3"	"142"	"1"	"8"	"4"	"1"	"1"	"399"	"0"	"0"	"399"	"0"
"16"	"4"	"19"	"1"	"84"	"278"	"4"	"7"	"4"	"1"	"4"	"95"	"5"	"6"	"7"	"3"	"1"	"519"	"0"	"11"	"530"	"0"
"17"	"5"	"54"	"11"	"86"	"252"	"4"	"1"	"0"	"1"	"0"	"46"	"0"	"4"	"6"	"2"	"0"	"467"	"0"	"1"	"468"	"0"
"18"	"6"	"76"	"4"	"70"	"282"	"2"	"1"	"1"	"1"	"3"	"20"	"6"	"8"	"5"	"1"	"2"	"482"	"0"	"13"	"495"	"0"
"19"	"7"	"27"	"1"	"224"	"56"	"2"	"0"	"0"	"0"	"1"	"9"	"1"	"1"	"5"	"5"	"1"	"333"	"0"	"4"	"337"	"0"
"20"	"8"	"78"	"4"	"293"	"261"	"3"	"2"	"1"	"5"	"6"	"45"	"4"	"4"	"9"	"8"	"3"	"726"	"0"	"5"	"731"	"0"
"21"	"9"	"30"	"9"	"356"	"442"	"6"	"2"	"3"	"1"	"0"	"7"	"4"	"1"	"12"	"8"	"1"	"882"	"0"	"4"	"886"	"0"
