"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 6-Madhubani PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  259397"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Benipatti(32)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Abdul Bari Siddiqui"	"Prof. Ghulam Ghous"	"Hari Narayan Yadav"	"Hukm Deo Narayan Yadav"	"Anirud Sahu"	"Kumari Rita"	"Dhrub Narayan Karn"	"Neeraj Pathak"	"Faiz Ahmad"	"Ratneshwar Jha"	"Vijay Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"13"	"1"	"250"	"13"	"7"	"121"	"0"	"3"	"3"	"2"	"3"	"3"	"2"	"407"	"0"	"2"	"409"	"0"
"14"	"2"	"129"	"22"	"12"	"255"	"2"	"9"	"4"	"3"	"6"	"2"	"5"	"449"	"0"	"4"	"453"	"0"
"15"	"3"	"418"	"24"	"12"	"164"	"4"	"2"	"2"	"2"	"5"	"5"	"5"	"643"	"0"	"6"	"649"	"0"
"16"	"4"	"37"	"10"	"10"	"551"	"8"	"20"	"0"	"4"	"8"	"0"	"0"	"648"	"0"	"3"	"651"	"0"
"17"	"5"	"48"	"24"	"11"	"457"	"11"	"34"	"0"	"1"	"4"	"6"	"9"	"605"	"0"	"8"	"613"	"0"
"18"	"6"	"66"	"22"	"6"	"381"	"7"	"17"	"3"	"4"	"6"	"4"	"3"	"519"	"0"	"13"	"532"	"0"
"19"	"7"	"135"	"19"	"7"	"196"	"9"	"9"	"2"	"5"	"5"	"5"	"7"	"399"	"0"	"15"	"414"	"0"
"20"	"8"	"107"	"45"	"10"	"193"	"3"	"35"	"2"	"22"	"9"	"3"	"5"	"434"	"0"	"13"	"447"	"0"
"21"	"9"	"158"	"28"	"8"	"221"	"10"	"18"	"3"	"4"	"2"	"4"	"1"	"457"	"0"	"10"	"467"	"0"
"22"	"10"	"180"	"17"	"12"	"504"	"30"	"5"	"5"	"5"	"11"	"12"	"9"	"790"	"0"	"20"	"810"	"0"
"23"	"11"	"348"	"20"	"19"	"402"	"12"	"21"	"13"	"18"	"8"	"19"	"18"	"898"	"0"	"42"	"940"	"0"
"24"	"12"	"324"	"13"	"4"	"67"	"2"	"10"	"3"	"1"	"1"	"1"	"1"	"427"	"0"	"3"	"430"	"0"
"25"	"13"	"77"	"16"	"19"	"357"	"8"	"17"	"2"	"7"	"8"	"3"	"2"	"516"	"0"	"9"	"525"	"0"
