"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32-Arrah PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  270188"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Jagdishpur(197)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"MEENA SINGH"	"RAMESH CHANDRA BADAL"	"RAJ KUMAR SINGH"	"SRIBHAGWAN SINGH KUSHWAHA"	"BAIJNATH YADAV"	"BHARAT BHUSHAN PANDEY"	"RAJU YADAV"	"SHAMBHU PRASAD SHARMA"	"DR. SURENDRA KUMAR PRASAD"	"ASHOK RAM"	"GOPAL SINGH"	"SHANKAR DAYAL PASWAN"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"39"	"6"	"36"	"345"	"5"	"15"	"226"	"9"	"4"	"4"	"2"	"2"	"693"	"0"	"4"	"697"	"0"
"14"	"2"	"12"	"6"	"32"	"230"	"5"	"5"	"47"	"4"	"0"	"4"	"0"	"0"	"345"	"0"	"1"	"346"	"0"
"15"	"3"	"9"	"0"	"29"	"185"	"3"	"1"	"8"	"0"	"1"	"3"	"0"	"1"	"240"	"0"	"4"	"244"	"0"
"16"	"4"	"94"	"3"	"80"	"173"	"6"	"6"	"132"	"2"	"2"	"10"	"5"	"4"	"517"	"0"	"15"	"532"	"0"
"17"	"5"	"15"	"7"	"182"	"211"	"6"	"7"	"156"	"1"	"5"	"9"	"7"	"2"	"608"	"0"	"27"	"635"	"0"
"18"	"6"	"11"	"4"	"278"	"267"	"6"	"10"	"61"	"2"	"4"	"7"	"6"	"6"	"662"	"0"	"16"	"678"	"0"
"19"	"7"	"41"	"1"	"126"	"51"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"223"	"0"	"3"	"226"	"0"
"20"	"8"	"52"	"2"	"191"	"151"	"5"	"6"	"82"	"2"	"2"	"3"	"2"	"4"	"502"	"0"	"7"	"509"	"0"
"21"	"9"	"24"	"20"	"51"	"561"	"10"	"3"	"14"	"1"	"3"	"7"	"3"	"7"	"704"	"0"	"15"	"719"	"0"
"22"	"10"	"48"	"1"	"93"	"344"	"1"	"2"	"0"	"0"	"4"	"7"	"0"	"1"	"501"	"0"	"3"	"504"	"0"
"23"	"11"	"23"	"5"	"113"	"267"	"7"	"4"	"5"	"2"	"3"	"4"	"1"	"2"	"436"	"0"	"13"	"449"	"0"
