"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 24-Begusarai PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  255978"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Teghra(143)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Md. Tanveer Hassan"	"Bhola Singh"	"Rajendra Prasad Singh"	"Ram Padarath Yadav"	"Pinki Devi"	"Sunil Kumar"	"Hari Kant Prasad"	"Pankaj Paswan"	"Mohammad Javed"	"Rajendra Yadav"	"Vaij Nath Paswan"	"Sushil Kumar"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"39"	"384"	"293"	"6"	"0"	"0"	"2"	"0"	"1"	"4"	"14"	"13"	"756"	"0"	"22"	"778"	"0"
"14"	"2"	"261"	"289"	"90"	"0"	"2"	"4"	"8"	"4"	"5"	"6"	"16"	"13"	"698"	"0"	"46"	"744"	"0"
"15"	"3"	"114"	"461"	"236"	"6"	"2"	"5"	"1"	"4"	"4"	"8"	"8"	"6"	"855"	"0"	"28"	"883"	"0"
"16"	"4"	"150"	"563"	"90"	"2"	"0"	"2"	"2"	"1"	"1"	"3"	"1"	"8"	"823"	"0"	"8"	"831"	"0"
"17"	"5"	"48"	"392"	"320"	"4"	"0"	"3"	"0"	"1"	"1"	"2"	"2"	"6"	"779"	"0"	"5"	"784"	"0"
"18"	"6"	"21"	"339"	"612"	"10"	"0"	"0"	"2"	"0"	"0"	"2"	"6"	"3"	"995"	"0"	"5"	"1000"	"0"
"19"	"7"	"127"	"403"	"179"	"20"	"2"	"2"	"4"	"2"	"4"	"4"	"16"	"16"	"779"	"0"	"34"	"813"	"0"
"20"	"8"	"60"	"201"	"274"	"7"	"1"	"4"	"0"	"0"	"3"	"0"	"6"	"4"	"560"	"0"	"2"	"562"	"0"
"21"	"9"	"59"	"46"	"393"	"17"	"3"	"1"	"0"	"1"	"1"	"0"	"13"	"7"	"541"	"0"	"33"	"574"	"0"
"22"	"10"	"25"	"297"	"96"	"1"	"1"	"2"	"0"	"0"	"0"	"4"	"1"	"0"	"427"	"0"	"1"	"428"	"0"
"23"	"11"	"54"	"205"	"363"	"6"	"1"	"2"	"1"	"1"	"1"	"2"	"8"	"6"	"650"	"0"	"5"	"655"	"0"
"24"	"12"	"10"	"85"	"114"	"1"	"0"	"2"	"1"	"0"	"1"	"1"	"4"	"3"	"222"	"0"	"4"	"226"	"0"
