"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 7-Jhanjharpur PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  282843"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Rajnagar(37)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Devendra Prasad Yadav"	"Mangani Lal Mandal"	"Manilal Sahu"	"Birendra Kumar Chaudhary"	"Md.Akhtar Ali"	"Tiliya Devi"	"Md. Faiyaz Khan"	"Vighnesh Bhagat"	"Bipin Kumar Jha"	"Haidar"	"Awdhesh Kumar Shingh"	"Ibrahim Abbasi"	"Chandra Mohan Jha"	"Chhedi Ram"	"Janak Roy"	"Pawan Kumar"	"Barun Kumar Jha"	"Ram Chandra Safi"	"Dr. Binay Kumar Jha"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"
"13"	"1"	"19"	"44"	"4"	"229"	"5"	"5"	"1"	"1"	"2"	"0"	"2"	"2"	"5"	"1"	"0"	"4"	"8"	"6"	"1"	"339"	"0"	"3"	"342"	"0"
"14"	"2"	"6"	"43"	"4"	"190"	"3"	"2"	"2"	"1"	"3"	"0"	"1"	"4"	"4"	"1"	"1"	"6"	"2"	"0"	"0"	"273"	"0"	"1"	"274"	"0"
"15"	"3"	"6"	"19"	"4"	"228"	"4"	"2"	"2"	"3"	"4"	"2"	"0"	"0"	"2"	"1"	"4"	"2"	"7"	"5"	"1"	"296"	"0"	"3"	"299"	"0"
"16"	"4"	"148"	"82"	"4"	"391"	"15"	"12"	"3"	"2"	"0"	"1"	"2"	"3"	"6"	"7"	"5"	"9"	"21"	"7"	"3"	"721"	"0"	"12"	"733"	"0"
"17"	"5"	"67"	"111"	"7"	"311"	"6"	"5"	"0"	"2"	"3"	"4"	"1"	"5"	"3"	"4"	"6"	"8"	"21"	"11"	"2"	"577"	"0"	"7"	"584"	"0"
