"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 1-Valmiki Nagar PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  227290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Sikta(9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Purnmasi Ram"	"Baidya Nath Prasad Mahato"	"Shailesh Kumar Diwakar"	"Satish Chandra Dubey"	"Amar Sahani"	"Prof. Amaresh Prasad"	"Dactar Mahto"	"Dharmesh Prasad Varma"	"Virendra Prasad Gupta"	"Om Shanti Baba"	"Dilip Varma"	"Dravyan Uraon"	"Nand Lal Ram"	"Manohar Manoj"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"13"	"1"	"12"	"16"	"13"	"544"	"36"	"12"	"4"	"5"	"9"	"9"	"113"	"14"	"15"	"13"	"815"	"0"	"16"	"831"	"0"
"14"	"2"	"128"	"14"	"1"	"144"	"9"	"7"	"0"	"1"	"2"	"0"	"40"	"0"	"2"	"3"	"351"	"0"	"0"	"351"	"0"
"15"	"3"	"156"	"8"	"5"	"273"	"17"	"9"	"1"	"2"	"5"	"6"	"194"	"8"	"11"	"14"	"709"	"0"	"13"	"722"	"0"
"16"	"4"	"129"	"21"	"6"	"461"	"30"	"7"	"8"	"5"	"65"	"5"	"60"	"3"	"7"	"4"	"811"	"0"	"4"	"815"	"0"
"17"	"5"	"253"	"18"	"5"	"137"	"11"	"8"	"2"	"6"	"4"	"1"	"67"	"8"	"4"	"8"	"532"	"0"	"6"	"538"	"0"
"18"	"6"	"138"	"6"	"3"	"165"	"12"	"2"	"1"	"0"	"4"	"1"	"28"	"0"	"1"	"2"	"363"	"0"	"1"	"364"	"0"
"19"	"7"	"328"	"14"	"4"	"61"	"6"	"3"	"2"	"3"	"6"	"3"	"32"	"3"	"4"	"3"	"472"	"0"	"7"	"479"	"0"
"20"	"8"	"126"	"11"	"4"	"537"	"36"	"8"	"2"	"2"	"4"	"2"	"63"	"13"	"11"	"18"	"837"	"0"	"15"	"852"	"0"
"21"	"9"	"45"	"10"	"5"	"308"	"26"	"7"	"1"	"4"	"13"	"4"	"64"	"5"	"5"	"9"	"506"	"0"	"4"	"510"	"0"
