"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 18-Siwan PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  239023"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Ziradei(106)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"Om Prakash Yadav"	"Ganesh Ram"	"Manoj Kumar Singh"	"Hena Shahab"	"Amar Nath Yadav"	"Khalil Miya"	"Nagendra Tiwari"	"Narad Pndit"	"Paramanand Gond"	"Parmeshwar Manjhi"	"Ranjan Kumar"	"Ram Binay Ray"	"Satya Prakash Pandey"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"13"	"1"	"198"	"9"	"36"	"136"	"77"	"7"	"2"	"2"	"4"	"9"	"6"	"7"	"3"	"496"	"0"	"9"	"505"	"0"
"14"	"1A"	"199"	"4"	"23"	"208"	"102"	"11"	"2"	"4"	"4"	"5"	"4"	"1"	"2"	"569"	"0"	"4"	"573"	"0"
"15"	"2"	"204"	"4"	"57"	"141"	"6"	"0"	"2"	"1"	"3"	"4"	"11"	"12"	"5"	"450"	"0"	"11"	"461"	"0"
"16"	"3"	"158"	"4"	"75"	"70"	"31"	"3"	"1"	"3"	"1"	"1"	"5"	"4"	"6"	"362"	"0"	"8"	"370"	"0"
"17"	"4"	"71"	"3"	"7"	"110"	"7"	"1"	"0"	"3"	"1"	"2"	"1"	"0"	"2"	"208"	"0"	"4"	"212"	"0"
"18"	"5"	"296"	"51"	"55"	"142"	"46"	"8"	"3"	"3"	"3"	"4"	"6"	"4"	"2"	"623"	"0"	"4"	"627"	"0"
"19"	"6"	"407"	"14"	"45"	"243"	"92"	"9"	"3"	"1"	"3"	"7"	"14"	"13"	"9"	"860"	"0"	"32"	"892"	"0"
"20"	"7"	"419"	"14"	"55"	"148"	"81"	"8"	"0"	"6"	"2"	"5"	"16"	"9"	"10"	"773"	"0"	"23"	"796"	"0"
"21"	"8"	"64"	"6"	"84"	"127"	"92"	"7"	"1"	"3"	"4"	"8"	"11"	"12"	"9"	"428"	"0"	"14"	"442"	"0"
"22"	"9"	"256"	"1"	"28"	"82"	"45"	"9"	"2"	"2"	"2"	"5"	"3"	"13"	"7"	"455"	"0"	"22"	"477"	"0"
"23"	"10"	"95"	"4"	"82"	"48"	"205"	"12"	"2"	"4"	"3"	"4"	"1"	"6"	"5"	"471"	"0"	"8"	"479"	"0"
