"ANNEXURE...45"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"(Chapter XV,PARA 15.27.9)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"[SEE RULE 56C(2)(C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 32-Arrah PARLIAMENTARY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Total No. of Electors in Assembly Constituency/Segment :  277298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Name of the Assembly/Segment:  Arrah(194)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"10"	"Serial No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of rejected votes"	"NOTA"	"Total"	"No.of tendered votes"
"11"	""	"MEENA SINGH"	"RAMESH CHANDRA BADAL"	"RAJ KUMAR SINGH"	"SRIBHAGWAN SINGH KUSHWAHA"	"BAIJNATH YADAV"	"BHARAT BHUSHAN PANDEY"	"RAJU YADAV"	"SHAMBHU PRASAD SHARMA"	"DR. SURENDRA KUMAR PRASAD"	"ASHOK RAM"	"GOPAL SINGH"	"SHANKAR DAYAL PASWAN"	""	""	""	""	""
"12"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"13"	"1"	"9"	"5"	"383"	"137"	"3"	"3"	"15"	"1"	"1"	"0"	"4"	"0"	"561"	"0"	"8"	"569"	"0"
"14"	"2"	"13"	"0"	"142"	"50"	"0"	"3"	"99"	"2"	"3"	"0"	"1"	"1"	"314"	"0"	"4"	"318"	"0"
"15"	"3"	"1"	"0"	"200"	"13"	"1"	"1"	"49"	"2"	"2"	"0"	"3"	"1"	"273"	"0"	"1"	"274"	"0"
"16"	"4"	"28"	"2"	"102"	"314"	"3"	"4"	"19"	"2"	"4"	"2"	"4"	"4"	"488"	"0"	"14"	"502"	"0"
"17"	"5"	"38"	"4"	"212"	"242"	"3"	"10"	"59"	"3"	"11"	"14"	"11"	"6"	"613"	"0"	"33"	"646"	"0"
"18"	"6"	"48"	"1"	"256"	"140"	"0"	"1"	"4"	"3"	"4"	"1"	"2"	"3"	"463"	"0"	"3"	"466"	"0"
"19"	"7"	"68"	"10"	"320"	"72"	"2"	"4"	"39"	"2"	"0"	"5"	"2"	"2"	"526"	"0"	"14"	"540"	"0"
"20"	"8"	"20"	"3"	"299"	"104"	"3"	"2"	"5"	"1"	"4"	"2"	"2"	"1"	"446"	"0"	"2"	"448"	"0"
"21"	"9"	"15"	"1"	"194"	"30"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"1"	"247"	"0"	"4"	"251"	"0"
"22"	"10"	"14"	"4"	"316"	"44"	"1"	"4"	"20"	"0"	"2"	"3"	"2"	"0"	"410"	"0"	"3"	"413"	"0"
"23"	"11"	"21"	"5"	"615"	"114"	"0"	"5"	"21"	"1"	"4"	"4"	"3"	"1"	"794"	"0"	"8"	"802"	"0"
